session_id,user_id,session_date,session_timestamp,entry_page,exit_page,pages_viewed,session_duration_seconds,avg_time_per_page,is_bounce,application_submitted
de482ebd_S08,de482ebd,2024-02-13,2024-02-13 00:00:00,internship_details,internship_details,9,1709,189,False,True
a3111f87_S01,a3111f87,2024-03-23,2024-03-23 00:00:00,internship_details,application_form,7,917,131,False,False
a3111f87_S02,a3111f87,2024-03-30,2024-03-30 00:00:00,company_profiles,resume_upload,8,2046,255,False,False
a3111f87_S03,a3111f87,2024-04-02,2024-04-02 00:00:00,internship_listings,resume_upload,14,3431,245,False,False
a3111f87_S04,a3111f87,2024-04-09,2024-04-09 00:00:00,blog_career_tips,internship_listings,5,520,104,False,False
a3111f87_S05,a3111f87,2024-04-11,2024-04-11 00:00:00,faq_support,resume_upload,6,1177,196,False,False
a3111f87_S06,a3111f87,2024-04-15,2024-04-15 00:00:00,company_profiles,application_form,9,2433,270,False,False
a3111f87_S07,a3111f87,2024-04-20,2024-04-20 00:00:00,internship_details,resume_upload,3,531,177,False,False
a3111f87_S08,a3111f87,2024-04-23,2024-04-23 00:00:00,internship_details,application_form,18,5880,326,False,False
a3111f87_S09,a3111f87,2024-04-29,2024-04-29 00:00:00,search_results,internship_details,10,892,89,False,False
a3111f87_S10,a3111f87,2024-05-01,2024-05-01 00:00:00,internship_details,profile_creation,3,957,319,False,True
46119008_S01,46119008,2024-02-20,2024-02-20 00:00:00,company_profiles,profile_creation,7,969,138,False,False
46119008_S02,46119008,2024-02-23,2024-02-23 00:00:00,internship_details,application_form,7,1597,228,False,False
972c58d6_S01,972c58d6,2024-01-18,2024-01-18 00:00:00,faq_support,internship_details,5,367,73,False,False
e7a65f18_S01,e7a65f18,2024-02-17,2024-02-17 00:00:00,faq_support,internship_listings,9,960,106,False,False
e7a65f18_S02,e7a65f18,2024-02-24,2024-02-24 00:00:00,dashboard,application_form,4,730,182,False,False
e7a65f18_S03,e7a65f18,2024-02-29,2024-02-29 00:00:00,homepage,internship_details,8,866,108,False,False
e7a65f18_S04,e7a65f18,2024-03-08,2024-03-08 00:00:00,dashboard,resume_upload,8,1323,165,False,False
e7a65f18_S05,e7a65f18,2024-03-09,2024-03-09 00:00:00,homepage,profile_creation,10,1939,193,False,False
e7a65f18_S06,e7a65f18,2024-03-15,2024-03-15 00:00:00,profile_creation,application_form,4,1200,300,False,True
08ae80da_S01,08ae80da,2024-03-09,2024-03-09 00:00:00,search_results,dashboard,9,1119,124,False,True
5e2a24a8_S01,5e2a24a8,2024-02-12,2024-02-12 00:00:00,faq_support,search_results,4,390,97,False,False
5e2a24a8_S02,5e2a24a8,2024-02-20,2024-02-20 00:00:00,internship_details,dashboard,11,3165,287,False,True
80e4bbab_S01,80e4bbab,2024-01-06,2024-01-06 00:00:00,resume_upload,application_form,7,2318,331,False,False
80e4bbab_S02,80e4bbab,2024-01-09,2024-01-09 00:00:00,faq_support,application_form,7,928,132,False,False
80e4bbab_S03,80e4bbab,2024-01-14,2024-01-14 00:00:00,company_profiles,resume_upload,6,978,163,False,True
35cf4895_S01,35cf4895,2024-01-16,2024-01-16 00:00:00,internship_listings,profile_creation,6,2049,341,False,False
35cf4895_S02,35cf4895,2024-01-23,2024-01-23 00:00:00,internship_listings,profile_creation,12,2353,196,False,False
35cf4895_S03,35cf4895,2024-01-25,2024-01-25 00:00:00,resume_upload,search_results,13,2721,209,False,False
35cf4895_S04,35cf4895,2024-01-30,2024-01-30 00:00:00,search_results,application_form,15,2809,187,False,False
35cf4895_S05,35cf4895,2024-02-07,2024-02-07 00:00:00,blog_career_tips,profile_creation,11,1852,168,False,True
62bf3d54_S01,62bf3d54,2024-01-24,2024-01-24 00:00:00,homepage,resume_upload,9,2116,235,False,False
62bf3d54_S02,62bf3d54,2024-01-27,2024-01-27 00:00:00,homepage,resume_upload,11,1816,165,False,False
62bf3d54_S03,62bf3d54,2024-01-30,2024-01-30 00:00:00,internship_listings,application_form,11,1352,122,False,False
62bf3d54_S04,62bf3d54,2024-01-31,2024-01-31 00:00:00,homepage,application_form,9,1511,167,False,True
9bc94789_S01,9bc94789,2024-04-01,2024-04-01 00:00:00,internship_listings,application_form,3,541,180,False,False
9bc94789_S02,9bc94789,2024-04-02,2024-04-02 00:00:00,application_form,application_form,6,970,161,False,False
9bc94789_S03,9bc94789,2024-04-07,2024-04-07 00:00:00,dashboard,application_form,5,1547,309,False,True
385a062c_S01,385a062c,2024-01-24,2024-01-24 00:00:00,internship_listings,payment_page,8,1656,207,False,False
385a062c_S02,385a062c,2024-01-28,2024-01-28 00:00:00,dashboard,dashboard,9,2246,249,False,False
385a062c_S03,385a062c,2024-01-31,2024-01-31 00:00:00,internship_details,internship_details,5,463,92,False,False
385a062c_S04,385a062c,2024-02-06,2024-02-06 00:00:00,dashboard,search_results,3,257,85,False,True
9e85198f_S01,9e85198f,2024-02-05,2024-02-05 00:00:00,resume_upload,dashboard,7,910,130,False,False
9e85198f_S02,9e85198f,2024-02-13,2024-02-13 00:00:00,dashboard,search_results,12,2706,225,False,False
9e85198f_S03,9e85198f,2024-02-16,2024-02-16 00:00:00,faq_support,resume_upload,15,2282,152,False,False
9e85198f_S04,9e85198f,2024-02-22,2024-02-22 00:00:00,company_profiles,application_form,11,1974,179,False,False
9e85198f_S05,9e85198f,2024-02-24,2024-02-24 00:00:00,internship_listings,internship_details,13,1316,101,False,False
9e85198f_S06,9e85198f,2024-03-02,2024-03-02 00:00:00,internship_details,internship_details,7,1105,157,False,False
9e85198f_S07,9e85198f,2024-03-06,2024-03-06 00:00:00,internship_listings,resume_upload,9,1341,149,False,False
9e85198f_S08,9e85198f,2024-03-11,2024-03-11 00:00:00,internship_details,resume_upload,18,4143,230,False,False
9e85198f_S09,9e85198f,2024-03-17,2024-03-17 00:00:00,faq_support,dashboard,11,1753,159,False,False
9e85198f_S10,9e85198f,2024-03-19,2024-03-19 00:00:00,company_profiles,internship_listings,9,1207,134,False,False
9e85198f_S11,9e85198f,2024-03-26,2024-03-26 00:00:00,homepage,resume_upload,13,2048,157,False,False
9e85198f_S12,9e85198f,2024-03-31,2024-03-31 00:00:00,profile_creation,dashboard,11,2895,263,False,False
9e85198f_S13,9e85198f,2024-04-04,2024-04-04 00:00:00,company_profiles,resume_upload,7,1712,244,False,False
9e85198f_S14,9e85198f,2024-04-09,2024-04-09 00:00:00,internship_listings,application_form,6,778,129,False,True
b61cba7d_S01,b61cba7d,2024-02-11,2024-02-11 00:00:00,homepage,internship_listings,4,406,101,False,False
e3fac86a_S01,e3fac86a,2024-03-13,2024-03-13 00:00:00,company_profiles,resume_upload,6,853,142,False,False
e3fac86a_S02,e3fac86a,2024-03-15,2024-03-15 00:00:00,company_profiles,internship_details,14,2961,211,False,False
e3fac86a_S03,e3fac86a,2024-03-17,2024-03-17 00:00:00,profile_creation,profile_creation,16,4821,301,False,False
e3fac86a_S04,e3fac86a,2024-03-18,2024-03-18 00:00:00,application_form,internship_details,22,4816,218,False,False
e3fac86a_S05,e3fac86a,2024-03-20,2024-03-20 00:00:00,company_profiles,internship_details,13,2371,182,False,False
e3fac86a_S06,e3fac86a,2024-03-27,2024-03-27 00:00:00,homepage,company_profiles,3,247,82,False,False
e3fac86a_S07,e3fac86a,2024-04-03,2024-04-03 00:00:00,company_profiles,internship_details,3,281,93,False,False
e3fac86a_S08,e3fac86a,2024-04-06,2024-04-06 00:00:00,company_profiles,resume_upload,11,2528,229,False,False
e3fac86a_S09,e3fac86a,2024-04-13,2024-04-13 00:00:00,homepage,resume_upload,19,4365,229,False,False
e3fac86a_S10,e3fac86a,2024-04-16,2024-04-16 00:00:00,company_profiles,profile_creation,17,4441,261,False,True
632a5dea_S01,632a5dea,2024-02-25,2024-02-25 00:00:00,application_form,resume_upload,8,2002,250,False,False
b73e0d07_S01,b73e0d07,2024-02-05,2024-02-05 00:00:00,internship_listings,profile_creation,10,2081,208,False,False
b73e0d07_S02,b73e0d07,2024-02-11,2024-02-11 00:00:00,internship_listings,application_form,11,2298,208,False,False
b73e0d07_S03,b73e0d07,2024-02-18,2024-02-18 00:00:00,search_results,payment_page,15,2699,179,False,False
b73e0d07_S04,b73e0d07,2024-02-20,2024-02-20 00:00:00,company_profiles,search_results,14,2021,144,False,True
12645361_S01,12645361,2024-02-19,2024-02-19 00:00:00,homepage,profile_creation,7,1200,171,False,False
12645361_S02,12645361,2024-02-23,2024-02-23 00:00:00,profile_creation,resume_upload,4,1184,296,False,False
12645361_S03,12645361,2024-02-27,2024-02-27 00:00:00,internship_listings,dashboard,10,1987,198,False,True
5c4e9edf_S01,5c4e9edf,2024-01-16,2024-01-16 00:00:00,search_results,application_form,10,2407,240,False,False
5c4e9edf_S02,5c4e9edf,2024-01-23,2024-01-23 00:00:00,profile_creation,application_form,10,3087,308,False,False
5c4e9edf_S03,5c4e9edf,2024-01-30,2024-01-30 00:00:00,homepage,resume_upload,13,2863,220,False,False
5c4e9edf_S04,5c4e9edf,2024-02-01,2024-02-01 00:00:00,profile_creation,resume_upload,9,2931,325,False,False
5c4e9edf_S05,5c4e9edf,2024-02-05,2024-02-05 00:00:00,internship_details,internship_details,9,896,99,False,False
5c4e9edf_S06,5c4e9edf,2024-02-11,2024-02-11 00:00:00,internship_details,application_form,12,2693,224,False,False
5c4e9edf_S07,5c4e9edf,2024-02-15,2024-02-15 00:00:00,search_results,profile_creation,13,1856,142,False,True
435a42e7_S01,435a42e7,2024-04-03,2024-04-03 00:00:00,internship_listings,payment_page,11,3266,296,False,False
e58fafab_S01,e58fafab,2024-03-19,2024-03-19 00:00:00,internship_details,application_form,14,3884,277,False,False
e58fafab_S02,e58fafab,2024-03-22,2024-03-22 00:00:00,internship_listings,profile_creation,13,3511,270,False,False
e58fafab_S03,e58fafab,2024-03-25,2024-03-25 00:00:00,internship_listings,internship_details,18,3517,195,False,False
e58fafab_S04,e58fafab,2024-04-01,2024-04-01 00:00:00,search_results,internship_details,8,748,93,False,False
e58fafab_S05,e58fafab,2024-04-06,2024-04-06 00:00:00,application_form,resume_upload,13,3764,289,False,True
913e9823_S01,913e9823,2024-04-02,2024-04-02 00:00:00,company_profiles,resume_upload,15,1860,124,False,False
913e9823_S02,913e9823,2024-04-10,2024-04-10 00:00:00,internship_details,profile_creation,14,3965,283,False,False
913e9823_S03,913e9823,2024-04-15,2024-04-15 00:00:00,internship_details,internship_details,12,2659,221,False,False
913e9823_S04,913e9823,2024-04-20,2024-04-20 00:00:00,homepage,dashboard,13,3301,253,False,False
913e9823_S05,913e9823,2024-04-28,2024-04-28 00:00:00,company_profiles,internship_details,10,797,79,False,True
7db63d19_S01,7db63d19,2024-01-22,2024-01-22 00:00:00,dashboard,resume_upload,6,1564,260,False,False
7db63d19_S02,7db63d19,2024-01-26,2024-01-26 00:00:00,homepage,internship_details,4,301,75,False,False
7db63d19_S03,7db63d19,2024-01-30,2024-01-30 00:00:00,company_profiles,internship_listings,6,511,85,False,True
0aeb74f6_S01,0aeb74f6,2024-01-01,2024-01-01 00:00:00,payment_page,internship_listings,5,724,144,False,False
0aeb74f6_S02,0aeb74f6,2024-01-05,2024-01-05 00:00:00,company_profiles,application_form,5,668,133,False,False
0aeb74f6_S03,0aeb74f6,2024-01-13,2024-01-13 00:00:00,search_results,application_form,5,529,105,False,False
8df628a2_S01,8df628a2,2024-03-25,2024-03-25 00:00:00,profile_creation,profile_creation,7,2106,300,False,False
28a9623c_S01,28a9623c,2024-01-25,2024-01-25 00:00:00,search_results,company_profiles,9,1048,116,False,False
28a9623c_S02,28a9623c,2024-01-26,2024-01-26 00:00:00,faq_support,internship_details,5,564,112,False,False
28a9623c_S03,28a9623c,2024-01-30,2024-01-30 00:00:00,search_results,profile_creation,6,1320,220,False,False
8c3385a3_S01,8c3385a3,2024-01-20,2024-01-20 00:00:00,company_profiles,dashboard,10,1364,136,False,False
8c3385a3_S02,8c3385a3,2024-01-27,2024-01-27 00:00:00,search_results,internship_details,7,1252,178,False,False
8c3385a3_S03,8c3385a3,2024-02-04,2024-02-04 00:00:00,blog_career_tips,profile_creation,5,1277,255,False,False
8c3385a3_S04,8c3385a3,2024-02-08,2024-02-08 00:00:00,profile_creation,application_form,8,2858,357,False,False
8c3385a3_S05,8c3385a3,2024-02-09,2024-02-09 00:00:00,internship_listings,profile_creation,9,1314,146,False,True
24637190_S01,24637190,2024-01-31,2024-01-31 00:00:00,homepage,company_profiles,7,586,83,False,False
968cb5b2_S01,968cb5b2,2024-01-09,2024-01-09 00:00:00,internship_listings,profile_creation,11,2087,189,False,False
968cb5b2_S02,968cb5b2,2024-01-14,2024-01-14 00:00:00,profile_creation,dashboard,4,689,172,False,False
968cb5b2_S03,968cb5b2,2024-01-19,2024-01-19 00:00:00,homepage,company_profiles,3,214,71,False,False
968cb5b2_S04,968cb5b2,2024-01-22,2024-01-22 00:00:00,resume_upload,application_form,7,2247,321,False,True
332d2f8d_S01,332d2f8d,2024-03-13,2024-03-13 00:00:00,dashboard,internship_listings,11,2780,252,False,False
332d2f8d_S02,332d2f8d,2024-03-17,2024-03-17 00:00:00,company_profiles,dashboard,16,2749,171,False,False
332d2f8d_S03,332d2f8d,2024-03-22,2024-03-22 00:00:00,blog_career_tips,resume_upload,11,2972,270,False,False
332d2f8d_S04,332d2f8d,2024-03-30,2024-03-30 00:00:00,company_profiles,internship_details,8,725,90,False,False
332d2f8d_S05,332d2f8d,2024-04-05,2024-04-05 00:00:00,faq_support,application_form,9,1890,210,False,False
332d2f8d_S06,332d2f8d,2024-04-11,2024-04-11 00:00:00,internship_listings,internship_details,8,783,97,False,False
332d2f8d_S07,332d2f8d,2024-04-12,2024-04-12 00:00:00,resume_upload,resume_upload,12,3211,267,False,False
332d2f8d_S08,332d2f8d,2024-04-17,2024-04-17 00:00:00,application_form,profile_creation,8,2001,250,False,False
332d2f8d_S09,332d2f8d,2024-04-25,2024-04-25 00:00:00,faq_support,dashboard,10,1467,146,False,True
e37fed85_S01,e37fed85,2024-03-01,2024-03-01 00:00:00,blog_career_tips,resume_upload,11,2880,261,False,False
e37fed85_S02,e37fed85,2024-03-06,2024-03-06 00:00:00,internship_details,internship_listings,6,1279,213,False,False
e37fed85_S03,e37fed85,2024-03-07,2024-03-07 00:00:00,faq_support,application_form,10,2118,211,False,False
e37fed85_S04,e37fed85,2024-03-12,2024-03-12 00:00:00,dashboard,company_profiles,13,2070,159,False,False
e37fed85_S05,e37fed85,2024-03-13,2024-03-13 00:00:00,dashboard,dashboard,12,2420,201,False,True
2c385ccf_S01,2c385ccf,2024-02-24,2024-02-24 00:00:00,dashboard,profile_creation,9,1287,143,False,False
2c385ccf_S02,2c385ccf,2024-02-25,2024-02-25 00:00:00,faq_support,dashboard,10,1013,101,False,False
2c385ccf_S03,2c385ccf,2024-03-04,2024-03-04 00:00:00,application_form,profile_creation,15,3749,249,False,False
2c385ccf_S04,2c385ccf,2024-03-06,2024-03-06 00:00:00,internship_listings,profile_creation,13,3149,242,False,False
2c385ccf_S05,2c385ccf,2024-03-13,2024-03-13 00:00:00,internship_listings,company_profiles,12,1154,96,False,False
2c385ccf_S06,2c385ccf,2024-03-20,2024-03-20 00:00:00,internship_details,internship_details,9,915,101,False,True
d472bc41_S01,d472bc41,2024-01-21,2024-01-21 00:00:00,company_profiles,internship_listings,4,419,104,False,False
d472bc41_S02,d472bc41,2024-01-23,2024-01-23 00:00:00,homepage,resume_upload,7,882,126,False,False
d472bc41_S03,d472bc41,2024-01-29,2024-01-29 00:00:00,homepage,internship_details,5,388,77,False,False
018b69b8_S01,018b69b8,2024-01-09,2024-01-09 00:00:00,internship_details,resume_upload,10,1717,171,False,False
018b69b8_S02,018b69b8,2024-01-11,2024-01-11 00:00:00,faq_support,application_form,9,1301,144,False,False
018b69b8_S03,018b69b8,2024-01-14,2024-01-14 00:00:00,blog_career_tips,resume_upload,7,1491,213,False,False
018b69b8_S04,018b69b8,2024-01-16,2024-01-16 00:00:00,internship_listings,application_form,7,1137,162,False,True
0eae12c9_S01,0eae12c9,2024-03-22,2024-03-22 00:00:00,search_results,internship_details,10,896,89,False,False
0eae12c9_S02,0eae12c9,2024-03-29,2024-03-29 00:00:00,homepage,profile_creation,13,1865,143,False,False
0eae12c9_S03,0eae12c9,2024-04-02,2024-04-02 00:00:00,homepage,resume_upload,13,2888,222,False,False
0eae12c9_S04,0eae12c9,2024-04-03,2024-04-03 00:00:00,dashboard,resume_upload,8,1966,245,False,False
0eae12c9_S05,0eae12c9,2024-04-10,2024-04-10 00:00:00,internship_listings,internship_listings,9,1453,161,False,False
0eae12c9_S06,0eae12c9,2024-04-12,2024-04-12 00:00:00,dashboard,application_form,11,2326,211,False,True
5a62b337_S01,5a62b337,2024-02-15,2024-02-15 00:00:00,homepage,profile_creation,8,1531,191,False,False
5a62b337_S02,5a62b337,2024-02-16,2024-02-16 00:00:00,resume_upload,application_form,6,884,147,False,False
5a62b337_S03,5a62b337,2024-02-18,2024-02-18 00:00:00,search_results,internship_details,2,173,86,False,False
5a62b337_S04,5a62b337,2024-02-25,2024-02-25 00:00:00,internship_details,internship_details,12,2420,201,False,False
5a62b337_S05,5a62b337,2024-03-01,2024-03-01 00:00:00,company_profiles,application_form,14,3479,248,False,True
40336952_S01,40336952,2024-02-04,2024-02-04 00:00:00,search_results,internship_details,8,667,83,False,False
0677b618_S01,0677b618,2024-02-29,2024-02-29 00:00:00,faq_support,application_form,7,959,137,False,False
0677b618_S02,0677b618,2024-03-03,2024-03-03 00:00:00,homepage,internship_listings,11,905,82,False,False
0677b618_S03,0677b618,2024-03-07,2024-03-07 00:00:00,search_results,dashboard,12,2064,172,False,False
0677b618_S04,0677b618,2024-03-08,2024-03-08 00:00:00,internship_details,internship_details,12,1245,103,False,False
0677b618_S05,0677b618,2024-03-15,2024-03-15 00:00:00,resume_upload,internship_details,8,1147,143,False,False
0677b618_S06,0677b618,2024-03-21,2024-03-21 00:00:00,internship_details,profile_creation,8,2318,289,False,True
d0311578_S01,d0311578,2024-02-17,2024-02-17 00:00:00,internship_listings,resume_upload,11,1446,131,False,True
93cd19e6_S01,93cd19e6,2024-03-28,2024-03-28 00:00:00,homepage,resume_upload,13,3001,230,False,False
93cd19e6_S02,93cd19e6,2024-04-01,2024-04-01 00:00:00,homepage,internship_listings,15,2369,157,False,False
93cd19e6_S03,93cd19e6,2024-04-08,2024-04-08 00:00:00,dashboard,application_form,9,2413,268,False,True
00c0fda9_S01,00c0fda9,2024-01-17,2024-01-17 00:00:00,internship_listings,application_form,6,768,128,False,False
00c0fda9_S02,00c0fda9,2024-01-20,2024-01-20 00:00:00,internship_details,resume_upload,4,1235,308,False,False
00c0fda9_S03,00c0fda9,2024-01-24,2024-01-24 00:00:00,internship_details,company_profiles,6,438,73,False,True
d674ea4b_S01,d674ea4b,2024-02-29,2024-02-29 00:00:00,company_profiles,internship_listings,7,1408,201,False,False
d674ea4b_S02,d674ea4b,2024-03-04,2024-03-04 00:00:00,homepage,internship_listings,7,571,81,False,False
d674ea4b_S03,d674ea4b,2024-03-10,2024-03-10 00:00:00,search_results,company_profiles,5,419,83,False,False
d674ea4b_S04,d674ea4b,2024-03-18,2024-03-18 00:00:00,company_profiles,application_form,9,1789,198,False,False
d674ea4b_S05,d674ea4b,2024-03-25,2024-03-25 00:00:00,dashboard,internship_listings,10,1398,139,False,False
d674ea4b_S06,d674ea4b,2024-04-02,2024-04-02 00:00:00,internship_details,resume_upload,9,1773,197,False,True
002e3789_S01,002e3789,2024-02-29,2024-02-29 00:00:00,application_form,profile_creation,9,2080,231,False,False
002e3789_S02,002e3789,2024-03-03,2024-03-03 00:00:00,homepage,application_form,11,1847,167,False,False
002e3789_S03,002e3789,2024-03-05,2024-03-05 00:00:00,dashboard,internship_details,10,1242,124,False,False
002e3789_S04,002e3789,2024-03-06,2024-03-06 00:00:00,homepage,resume_upload,6,929,154,False,False
002e3789_S05,002e3789,2024-03-14,2024-03-14 00:00:00,faq_support,application_form,15,1779,118,False,False
002e3789_S06,002e3789,2024-03-19,2024-03-19 00:00:00,internship_listings,company_profiles,13,1259,96,False,False
002e3789_S07,002e3789,2024-03-25,2024-03-25 00:00:00,internship_details,resume_upload,13,3543,272,False,True
abacb962_S01,abacb962,2024-01-19,2024-01-19 00:00:00,internship_details,internship_listings,8,1708,213,False,False
abacb962_S02,abacb962,2024-01-22,2024-01-22 00:00:00,search_results,resume_upload,11,2946,267,False,False
abacb962_S03,abacb962,2024-01-23,2024-01-23 00:00:00,dashboard,profile_creation,16,5250,328,False,False
abacb962_S04,abacb962,2024-01-28,2024-01-28 00:00:00,faq_support,internship_details,11,1264,114,False,False
abacb962_S05,abacb962,2024-02-01,2024-02-01 00:00:00,internship_listings,application_form,10,2113,211,False,False
abacb962_S06,abacb962,2024-02-04,2024-02-04 00:00:00,homepage,dashboard,14,2074,148,False,True
2db918b8_S01,2db918b8,2024-01-28,2024-01-28 00:00:00,internship_listings,dashboard,5,685,137,False,False
2db918b8_S02,2db918b8,2024-02-01,2024-02-01 00:00:00,dashboard,profile_creation,5,997,199,False,True
a64cc68e_S01,a64cc68e,2024-02-21,2024-02-21 00:00:00,resume_upload,application_form,12,2506,208,False,False
a64cc68e_S02,a64cc68e,2024-02-24,2024-02-24 00:00:00,search_results,search_results,16,1737,108,False,False
a64cc68e_S03,a64cc68e,2024-02-28,2024-02-28 00:00:00,search_results,application_form,16,3672,229,False,False
a64cc68e_S04,a64cc68e,2024-03-01,2024-03-01 00:00:00,resume_upload,application_form,13,3491,268,False,True
a4148674_S01,a4148674,2024-02-24,2024-02-24 00:00:00,payment_page,application_form,4,1154,288,False,False
a4148674_S02,a4148674,2024-02-25,2024-02-25 00:00:00,homepage,application_form,6,487,81,False,False
a4148674_S03,a4148674,2024-03-03,2024-03-03 00:00:00,homepage,resume_upload,10,2287,228,False,False
a4148674_S04,a4148674,2024-03-05,2024-03-05 00:00:00,faq_support,search_results,5,410,82,False,False
83abb9a4_S01,83abb9a4,2024-04-05,2024-04-05 00:00:00,internship_details,application_form,7,1630,232,False,False
83abb9a4_S02,83abb9a4,2024-04-10,2024-04-10 00:00:00,homepage,search_results,10,1237,123,False,True
3992033b_S01,3992033b,2024-01-31,2024-01-31 00:00:00,profile_creation,application_form,13,3274,251,False,False
3992033b_S02,3992033b,2024-02-06,2024-02-06 00:00:00,resume_upload,application_form,5,634,126,False,False
3992033b_S03,3992033b,2024-02-13,2024-02-13 00:00:00,faq_support,internship_details,14,2452,175,False,True
23a8cab1_S01,23a8cab1,2024-01-09,2024-01-09 00:00:00,search_results,dashboard,6,1283,213,False,False
23a8cab1_S02,23a8cab1,2024-01-12,2024-01-12 00:00:00,dashboard,profile_creation,8,1713,214,False,False
23a8cab1_S03,23a8cab1,2024-01-20,2024-01-20 00:00:00,company_profiles,resume_upload,11,1103,100,False,False
23a8cab1_S04,23a8cab1,2024-01-28,2024-01-28 00:00:00,search_results,resume_upload,7,1728,246,False,False
23a8cab1_S05,23a8cab1,2024-02-04,2024-02-04 00:00:00,homepage,internship_details,7,582,83,False,False
23a8cab1_S06,23a8cab1,2024-02-05,2024-02-05 00:00:00,profile_creation,resume_upload,6,1489,248,False,False
23a8cab1_S07,23a8cab1,2024-02-10,2024-02-10 00:00:00,profile_creation,internship_listings,16,2707,169,False,True
9c4d0b1b_S01,9c4d0b1b,2024-01-28,2024-01-28 00:00:00,homepage,internship_details,7,508,72,False,False
9c4d0b1b_S02,9c4d0b1b,2024-01-31,2024-01-31 00:00:00,internship_details,application_form,5,1566,313,False,False
9c4d0b1b_S03,9c4d0b1b,2024-02-04,2024-02-04 00:00:00,faq_support,company_profiles,7,581,83,False,False
9c4d0b1b_S04,9c4d0b1b,2024-02-11,2024-02-11 00:00:00,internship_details,application_form,8,843,105,False,False
9c4d0b1b_S05,9c4d0b1b,2024-02-13,2024-02-13 00:00:00,company_profiles,internship_details,5,273,54,False,False
9c4d0b1b_S06,9c4d0b1b,2024-02-17,2024-02-17 00:00:00,internship_details,application_form,7,1167,166,False,True
478c7bf6_S01,478c7bf6,2024-03-20,2024-03-20 00:00:00,search_results,profile_creation,10,1670,167,False,False
478c7bf6_S02,478c7bf6,2024-03-23,2024-03-23 00:00:00,search_results,application_form,9,2068,229,False,False
478c7bf6_S03,478c7bf6,2024-03-28,2024-03-28 00:00:00,homepage,internship_details,10,1224,122,False,True
b6b08a9d_S01,b6b08a9d,2024-03-15,2024-03-15 00:00:00,dashboard,dashboard,5,1342,268,False,True
3556c50b_S01,3556c50b,2024-02-26,2024-02-26 00:00:00,dashboard,company_profiles,12,1267,105,False,False
3556c50b_S02,3556c50b,2024-02-27,2024-02-27 00:00:00,homepage,dashboard,8,897,112,False,False
3556c50b_S03,3556c50b,2024-03-02,2024-03-02 00:00:00,homepage,resume_upload,9,1198,133,False,False
3556c50b_S04,3556c50b,2024-03-07,2024-03-07 00:00:00,homepage,application_form,9,1593,177,False,False
3556c50b_S05,3556c50b,2024-03-15,2024-03-15 00:00:00,resume_upload,dashboard,12,3278,273,False,True
bc60f7d8_S01,bc60f7d8,2024-02-02,2024-02-02 00:00:00,dashboard,application_form,5,1441,288,False,True
2b3ad87d_S01,2b3ad87d,2024-02-29,2024-02-29 00:00:00,dashboard,resume_upload,6,1521,253,False,True
4e308230_S01,4e308230,2024-03-21,2024-03-21 00:00:00,dashboard,profile_creation,7,1792,256,False,False
4e308230_S02,4e308230,2024-03-25,2024-03-25 00:00:00,homepage,internship_listings,7,518,74,False,False
