user_id,session_id,funnel_stage,pages_viewed,application_submitted
0aeb74f6,0aeb74f6_S01,Consideration,5,False
0aeb74f6,0aeb74f6_S02,Application,5,False
0aeb74f6,0aeb74f6_S03,Application,5,False
8df628a2,8df628a2_S01,Awareness,7,False
28a9623c,28a9623c_S01,Application,9,False
28a9623c,28a9623c_S02,Application,5,False
28a9623c,28a9623c_S03,Application,6,False
8c3385a3,8c3385a3_S01,Awareness,10,True
8c3385a3,8c3385a3_S02,Evaluation,7,True
8c3385a3,8c3385a3_S03,Application,5,True
8c3385a3,8c3385a3_S04,Application,8,True
8c3385a3,8c3385a3_S05,Application,9,True
24637190,24637190_S01,Evaluation,7,False
968cb5b2,968cb5b2_S01,Application,11,True
968cb5b2,968cb5b2_S02,Application,4,True
968cb5b2,968cb5b2_S03,Application,3,True
968cb5b2,968cb5b2_S04,Application,7,True
332d2f8d,332d2f8d_S01,Consideration,11,True
332d2f8d,332d2f8d_S02,Application,16,True
332d2f8d,332d2f8d_S03,Application,11,True
332d2f8d,332d2f8d_S04,Application,8,True
332d2f8d,332d2f8d_S05,Application,9,True
332d2f8d,332d2f8d_S06,Application,8,True
332d2f8d,332d2f8d_S07,Application,12,True
332d2f8d,332d2f8d_S08,Application,8,True
332d2f8d,332d2f8d_S09,Application,10,True
e37fed85,e37fed85_S01,Application,11,False
e37fed85,e37fed85_S02,Application,6,True
e37fed85,e37fed85_S03,Application,10,True
e37fed85,e37fed85_S04,Application,13,True
e37fed85,e37fed85_S05,Application,12,True
2c385ccf,2c385ccf_S01,Application,9,True
2c385ccf,2c385ccf_S02,Application,10,True
2c385ccf,2c385ccf_S03,Application,15,True
2c385ccf,2c385ccf_S04,Application,13,True
2c385ccf,2c385ccf_S05,Application,12,True
2c385ccf,2c385ccf_S06,Application,9,True
d472bc41,d472bc41_S01,Consideration,4,False
d472bc41,d472bc41_S02,Application,7,False
d472bc41,d472bc41_S03,Application,5,False
018b69b8,018b69b8_S01,Application,10,True
018b69b8,018b69b8_S02,Application,9,True
018b69b8,018b69b8_S03,Application,7,True
018b69b8,018b69b8_S04,Application,7,True
0eae12c9,0eae12c9_S01,Evaluation,10,False
0eae12c9,0eae12c9_S02,Application,13,False
0eae12c9,0eae12c9_S03,Application,13,False
0eae12c9,0eae12c9_S04,Application,8,True
0eae12c9,0eae12c9_S05,Application,9,True
0eae12c9,0eae12c9_S06,Application,11,True
5a62b337,5a62b337_S01,Application,8,False
5a62b337,5a62b337_S02,Application,6,True
5a62b337,5a62b337_S03,Application,2,True
5a62b337,5a62b337_S04,Application,12,True
5a62b337,5a62b337_S05,Application,14,True
40336952,40336952_S01,Awareness,8,False
0677b618,0677b618_S01,Application,7,True
0677b618,0677b618_S02,Application,11,True
0677b618,0677b618_S03,Application,12,True
0677b618,0677b618_S04,Application,12,True
0677b618,0677b618_S05,Application,8,True
0677b618,0677b618_S06,Application,8,True
d0311578,d0311578_S01,Application,11,True
93cd19e6,93cd19e6_S01,Application,13,True
93cd19e6,93cd19e6_S02,Application,15,True
93cd19e6,93cd19e6_S03,Application,9,True
00c0fda9,00c0fda9_S01,Application,6,False
00c0fda9,00c0fda9_S02,Application,4,True
00c0fda9,00c0fda9_S03,Application,6,True
d674ea4b,d674ea4b_S01,Consideration,7,False
d674ea4b,d674ea4b_S02,Evaluation,7,False
d674ea4b,d674ea4b_S03,Evaluation,5,False
d674ea4b,d674ea4b_S04,Application,9,True
d674ea4b,d674ea4b_S05,Application,10,True
d674ea4b,d674ea4b_S06,Application,9,True
002e3789,002e3789_S01,Application,9,True
002e3789,002e3789_S02,Application,11,True
002e3789,002e3789_S03,Application,10,True
002e3789,002e3789_S04,Application,6,True
002e3789,002e3789_S05,Application,15,True
002e3789,002e3789_S06,Application,13,True
002e3789,002e3789_S07,Application,13,True
abacb962,abacb962_S01,Consideration,8,True
abacb962,abacb962_S02,Application,11,True
abacb962,abacb962_S03,Application,16,True
abacb962,abacb962_S04,Application,11,True
abacb962,abacb962_S05,Application,10,True
abacb962,abacb962_S06,Application,14,True
2db918b8,2db918b8_S01,Application,5,True
2db918b8,2db918b8_S02,Application,5,True
a64cc68e,a64cc68e_S01,Application,12,True
a64cc68e,a64cc68e_S02,Application,16,True
a64cc68e,a64cc68e_S03,Application,16,True
a64cc68e,a64cc68e_S04,Application,13,True
a4148674,a4148674_S01,Awareness,4,False
a4148674,a4148674_S02,Application,6,False
a4148674,a4148674_S03,Application,10,False
a4148674,a4148674_S04,Application,5,False
83abb9a4,83abb9a4_S01,Application,7,False
83abb9a4,83abb9a4_S02,Application,10,True
3992033b,3992033b_S01,Application,13,True
3992033b,3992033b_S02,Application,5,True
3992033b,3992033b_S03,Application,14,True
23a8cab1,23a8cab1_S01,Awareness,6,True
23a8cab1,23a8cab1_S02,Application,8,True
23a8cab1,23a8cab1_S03,Application,11,True
23a8cab1,23a8cab1_S04,Application,7,True
23a8cab1,23a8cab1_S05,Application,7,True
23a8cab1,23a8cab1_S06,Application,6,True
23a8cab1,23a8cab1_S07,Application,16,True
9c4d0b1b,9c4d0b1b_S01,Evaluation,7,False
9c4d0b1b,9c4d0b1b_S02,Application,5,False
9c4d0b1b,9c4d0b1b_S03,Application,7,False
9c4d0b1b,9c4d0b1b_S04,Application,8,False
9c4d0b1b,9c4d0b1b_S05,Application,5,False
9c4d0b1b,9c4d0b1b_S06,Application,7,True
478c7bf6,478c7bf6_S01,Application,10,False
478c7bf6,478c7bf6_S02,Application,9,True
478c7bf6,478c7bf6_S03,Application,10,True
b6b08a9d,b6b08a9d_S01,Awareness,5,True
3556c50b,3556c50b_S01,Evaluation,12,False
3556c50b,3556c50b_S02,Application,8,False
3556c50b,3556c50b_S03,Application,9,True
3556c50b,3556c50b_S04,Application,9,True
3556c50b,3556c50b_S05,Application,12,True
bc60f7d8,bc60f7d8_S01,Awareness,5,True
2b3ad87d,2b3ad87d_S01,Awareness,6,True
4e308230,4e308230_S01,Application,7,True
4e308230,4e308230_S02,Application,7,True
4e308230,4e308230_S03,Application,6,True
56b85812,56b85812_S01,Application,5,True
56b85812,56b85812_S02,Application,7,True
56b85812,56b85812_S03,Application,9,True
c872b221,c872b221_S01,Awareness,5,False
a89766d6,a89766d6_S01,Awareness,7,True
a89766d6,a89766d6_S02,Consideration,3,True
a89766d6,a89766d6_S03,Evaluation,6,True
a89766d6,a89766d6_S04,Evaluation,2,True
a89766d6,a89766d6_S05,Evaluation,5,True
eace80ef,eace80ef_S01,Awareness,3,False
eace80ef,eace80ef_S02,Awareness,3,False
eace80ef,eace80ef_S03,Consideration,4,False
05a96e6d,05a96e6d_S01,Application,10,False
05a96e6d,05a96e6d_S02,Application,8,True
22639955,22639955_S01,Awareness,12,True
22639955,22639955_S02,Evaluation,9,True
22639955,22639955_S03,Evaluation,16,True
22639955,22639955_S04,Application,7,True
36dcc501,36dcc501_S01,Awareness,4,False
b7ba717e,b7ba717e_S01,Application,17,True
b7ba717e,b7ba717e_S02,Application,21,True
b7ba717e,b7ba717e_S03,Application,7,True
b7ba717e,b7ba717e_S04,Application,14,True
b7ba717e,b7ba717e_S05,Application,15,True
b7ba717e,b7ba717e_S06,Application,14,True
b7ba717e,b7ba717e_S07,Application,11,True
b7ba717e,b7ba717e_S08,Application,12,True
b7ba717e,b7ba717e_S09,Application,15,True
404a6905,404a6905_S01,Awareness,5,True
404a6905,404a6905_S02,Application,11,True
404a6905,404a6905_S03,Application,16,True
404a6905,404a6905_S04,Application,15,True
404a6905,404a6905_S05,Application,11,True
0c83b6da,0c83b6da_S01,Application,8,False
0c83b6da,0c83b6da_S02,Application,11,True
dc148cd4,dc148cd4_S01,Application,13,True
dc148cd4,dc148cd4_S02,Application,6,True
dc148cd4,dc148cd4_S03,Application,9,True
dc148cd4,dc148cd4_S04,Application,11,True
ebfbdfc7,ebfbdfc7_S01,Evaluation,14,True
ebfbdfc7,ebfbdfc7_S02,Application,10,True
ebfbdfc7,ebfbdfc7_S03,Application,7,True
ebfbdfc7,ebfbdfc7_S04,Application,12,True
ebfbdfc7,ebfbdfc7_S05,Application,14,True
ebfbdfc7,ebfbdfc7_S06,Application,12,True
ebfbdfc7,ebfbdfc7_S07,Application,13,True
ebfbdfc7,ebfbdfc7_S08,Application,10,True
2174dd18,2174dd18_S01,Awareness,7,True
2174dd18,2174dd18_S02,Awareness,8,True
2174dd18,2174dd18_S03,Application,14,True
2174dd18,2174dd18_S04,Application,14,True
068a4249,068a4249_S01,Awareness,6,False
068a4249,068a4249_S02,Application,4,False
386d10e0,386d10e0_S01,Application,9,True
60987ed1,60987ed1_S01,Awareness,9,True
60987ed1,60987ed1_S02,Application,17,True
60987ed1,60987ed1_S03,Application,12,True
60987ed1,60987ed1_S04,Application,10,True
60987ed1,60987ed1_S05,Application,7,True
101f24a5,101f24a5_S01,Application,9,True
101f24a5,101f24a5_S02,Application,3,True
101f24a5,101f24a5_S03,Application,14,True
caa02996,caa02996_S01,Awareness,5,True
caa02996,caa02996_S02,Evaluation,10,True
0f07e844,0f07e844_S01,Awareness,10,False
0f07e844,0f07e844_S02,Application,12,False
0f07e844,0f07e844_S03,Application,9,False
e34850e2,e34850e2_S01,Application,5,False
1222af3d,1222af3d_S01,Awareness,4,True
1222af3d,1222af3d_S02,Application,13,True
1222af3d,1222af3d_S03,Application,10,True
1222af3d,1222af3d_S04,Application,10,True
1222af3d,1222af3d_S05,Application,14,True
1222af3d,1222af3d_S06,Application,5,True
1222af3d,1222af3d_S07,Application,7,True
093fa3a1,093fa3a1_S01,Consideration,4,False
093fa3a1,093fa3a1_S02,Application,6,True
5dc0f969,5dc0f969_S01,Application,5,False
5dc0f969,5dc0f969_S02,Application,7,True
5dc0f969,5dc0f969_S03,Application,5,True
b9c706b8,b9c706b8_S01,Awareness,2,False
22e6787e,22e6787e_S01,Awareness,5,False
ca942e75,ca942e75_S01,Application,7,False
ca942e75,ca942e75_S02,Application,7,True
11497442,11497442_S01,Application,9,False
11497442,11497442_S02,Application,6,False
ae9eeb50,ae9eeb50_S01,Application,8,False
ae9eeb50,ae9eeb50_S02,Application,12,True
1585d35b,1585d35b_S01,Application,5,False
1585d35b,1585d35b_S02,Application,6,False
1585d35b,1585d35b_S03,Application,5,False
e4d44597,e4d44597_S01,Awareness,2,False
e4d44597,e4d44597_S02,Application,9,False
496ff009,496ff009_S01,Awareness,2,False
496ff009,496ff009_S02,Application,8,False
496ff009,496ff009_S03,Application,6,False
496ff009,496ff009_S04,Application,7,False
9b54ed4b,9b54ed4b_S01,Application,11,True
9b54ed4b,9b54ed4b_S02,Application,14,True
9b54ed4b,9b54ed4b_S03,Application,10,True
9b54ed4b,9b54ed4b_S04,Application,11,True
9b54ed4b,9b54ed4b_S05,Application,20,True
9b54ed4b,9b54ed4b_S06,Application,13,True
9b54ed4b,9b54ed4b_S07,Application,6,True
9b54ed4b,9b54ed4b_S08,Application,10,True
c0526241,c0526241_S01,Application,12,False
c0526241,c0526241_S02,Application,12,True
c0526241,c0526241_S03,Application,9,True
c0526241,c0526241_S04,Application,14,True
c0526241,c0526241_S05,Application,10,True
c0526241,c0526241_S06,Application,8,True
c0526241,c0526241_S07,Application,16,True
c0526241,c0526241_S08,Application,9,True
c0526241,c0526241_S09,Application,19,True
c0526241,c0526241_S10,Application,11,True
c0526241,c0526241_S11,Application,18,True
3ed1dcec,3ed1dcec_S01,Application,16,False
3ed1dcec,3ed1dcec_S02,Application,9,False
3ed1dcec,3ed1dcec_S03,Application,14,True
3ed1dcec,3ed1dcec_S04,Application,14,True
3ed1dcec,3ed1dcec_S05,Application,8,True
3ed1dcec,3ed1dcec_S06,Application,13,True
36701fe9,36701fe9_S01,Application,12,True
36701fe9,36701fe9_S02,Application,12,True
36701fe9,36701fe9_S03,Application,3,True
36701fe9,36701fe9_S04,Application,9,True
36701fe9,36701fe9_S05,Application,14,True
905f26b4,905f26b4_S01,Evaluation,7,False
905f26b4,905f26b4_S02,Evaluation,7,False
905f26b4,905f26b4_S03,Application,7,True
7e4a8bc2,7e4a8bc2_S01,Evaluation,10,False
1b69d1ba,1b69d1ba_S01,Application,10,False
1b69d1ba,1b69d1ba_S02,Application,9,True
1b69d1ba,1b69d1ba_S03,Application,16,True
1b69d1ba,1b69d1ba_S04,Application,11,True
1b69d1ba,1b69d1ba_S05,Application,12,True
9250eb24,9250eb24_S01,Awareness,17,True
9250eb24,9250eb24_S02,Application,15,True
9250eb24,9250eb24_S03,Application,10,True
9250eb24,9250eb24_S04,Application,15,True
9250eb24,9250eb24_S05,Application,11,True
9250eb24,9250eb24_S06,Application,11,True
9250eb24,9250eb24_S07,Application,10,True
9250eb24,9250eb24_S08,Application,12,True
9250eb24,9250eb24_S09,Application,12,True
2d9199b8,2d9199b8_S01,Application,7,True
2d9199b8,2d9199b8_S02,Application,15,True
2d9199b8,2d9199b8_S03,Application,10,True
2d9199b8,2d9199b8_S04,Application,8,True
2d9199b8,2d9199b8_S05,Application,10,True
2d9199b8,2d9199b8_S06,Application,7,True
2b4870cf,2b4870cf_S01,Application,12,False
2b4870cf,2b4870cf_S02,Application,12,False
2b4870cf,2b4870cf_S03,Application,10,True
e61e7cc4,e61e7cc4_S01,Application,13,False
e61e7cc4,e61e7cc4_S02,Application,8,True
e61e7cc4,e61e7cc4_S03,Application,8,True
09fe756e,09fe756e_S01,Application,10,True
09fe756e,09fe756e_S02,Application,14,True
09fe756e,09fe756e_S03,Application,7,True
09fe756e,09fe756e_S04,Application,3,True
e834655a,e834655a_S01,Awareness,4,False
7c2a0cb7,7c2a0cb7_S01,Evaluation,12,True
7c2a0cb7,7c2a0cb7_S02,Application,14,True
7c2a0cb7,7c2a0cb7_S03,Application,14,True
7c2a0cb7,7c2a0cb7_S04,Application,11,True
7c2a0cb7,7c2a0cb7_S05,Application,12,True
7c2a0cb7,7c2a0cb7_S06,Application,12,True
7c2a0cb7,7c2a0cb7_S07,Application,12,True
7c2a0cb7,7c2a0cb7_S08,Application,18,True
7c2a0cb7,7c2a0cb7_S09,Application,13,True
b36bad41,b36bad41_S01,Awareness,6,False
92a5435a,92a5435a_S01,Awareness,9,True
92a5435a,92a5435a_S02,Application,19,True
92a5435a,92a5435a_S03,Application,12,True
92a5435a,92a5435a_S04,Application,11,True
92a5435a,92a5435a_S05,Application,14,True
92a5435a,92a5435a_S06,Application,10,True
92a5435a,92a5435a_S07,Application,14,True
861abed5,861abed5_S01,Awareness,7,False
861abed5,861abed5_S02,Evaluation,8,False
33cd0bba,33cd0bba_S01,Consideration,8,False
33cd0bba,33cd0bba_S02,Consideration,8,True
33cd0bba,33cd0bba_S03,Application,6,True
33cd0bba,33cd0bba_S04,Application,6,True
b21214ee,b21214ee_S01,Evaluation,13,False
b21214ee,b21214ee_S02,Application,9,True
b21214ee,b21214ee_S03,Application,15,True
b21214ee,b21214ee_S04,Application,9,True
b21214ee,b21214ee_S05,Application,12,True
2d8ee7fc,2d8ee7fc_S01,Consideration,3,False
2d8ee7fc,2d8ee7fc_S02,Application,6,False
57a2c8c9,57a2c8c9_S01,Application,19,True
57a2c8c9,57a2c8c9_S02,Application,4,True
57a2c8c9,57a2c8c9_S03,Application,9,True
57a2c8c9,57a2c8c9_S04,Application,6,True
57a2c8c9,57a2c8c9_S05,Application,12,True
57a2c8c9,57a2c8c9_S06,Application,17,True
57a2c8c9,57a2c8c9_S07,Application,17,True
57a2c8c9,57a2c8c9_S08,Application,9,True
cb3fbd8d,cb3fbd8d_S01,Application,17,False
cb3fbd8d,cb3fbd8d_S02,Application,11,True
cb3fbd8d,cb3fbd8d_S03,Application,11,True
cb3fbd8d,cb3fbd8d_S04,Application,16,True
cb3fbd8d,cb3fbd8d_S05,Application,14,True
cb3fbd8d,cb3fbd8d_S06,Application,12,True
77463caa,77463caa_S01,Evaluation,12,False
77463caa,77463caa_S02,Evaluation,9,False
77463caa,77463caa_S03,Application,10,True
77463caa,77463caa_S04,Application,10,True
77463caa,77463caa_S05,Application,17,True
a996bc41,a996bc41_S01,Awareness,5,True
a996bc41,a996bc41_S02,Consideration,7,True
a996bc41,a996bc41_S03,Consideration,9,True
a996bc41,a996bc41_S04,Evaluation,6,True
a996bc41,a996bc41_S05,Application,15,True
3fed8f0d,3fed8f0d_S01,Application,16,True
3fed8f0d,3fed8f0d_S02,Application,10,True
3fed8f0d,3fed8f0d_S03,Application,11,True
3fed8f0d,3fed8f0d_S04,Application,9,True
3fed8f0d,3fed8f0d_S05,Application,14,True
3fed8f0d,3fed8f0d_S06,Application,11,True
9684a85b,9684a85b_S01,Application,14,True
9684a85b,9684a85b_S02,Application,6,True
9684a85b,9684a85b_S03,Application,6,True
9684a85b,9684a85b_S04,Application,17,True
9684a85b,9684a85b_S05,Application,12,True
9684a85b,9684a85b_S06,Application,16,True
9684a85b,9684a85b_S07,Application,16,True
07948084,07948084_S01,Application,8,True
07948084,07948084_S02,Application,14,True
634bb6d9,634bb6d9_S01,Application,7,True
634bb6d9,634bb6d9_S02,Application,8,True
060374db,060374db_S01,Application,9,True
060374db,060374db_S02,Application,6,True
060374db,060374db_S03,Application,8,True
060374db,060374db_S04,Application,14,True
060374db,060374db_S05,Application,18,True
060374db,060374db_S06,Application,11,True
060374db,060374db_S07,Application,11,True
060374db,060374db_S08,Application,12,True
1685d1a9,1685d1a9_S01,Application,7,True
1685d1a9,1685d1a9_S02,Application,4,True
d3afa592,d3afa592_S01,Application,14,True
d3afa592,d3afa592_S02,Application,14,True
d3afa592,d3afa592_S03,Application,10,True
d3afa592,d3afa592_S04,Application,18,True
d3afa592,d3afa592_S05,Application,9,True
d3afa592,d3afa592_S06,Application,11,True
d3afa592,d3afa592_S07,Application,9,True
d3afa592,d3afa592_S08,Application,11,True
d3afa592,d3afa592_S09,Application,12,True
4a856815,4a856815_S01,Application,9,True
4a856815,4a856815_S02,Application,14,True
4a856815,4a856815_S03,Application,11,True
4a856815,4a856815_S04,Application,11,True
4a856815,4a856815_S05,Application,14,True
4a856815,4a856815_S06,Application,13,True
4a856815,4a856815_S07,Application,12,True
074115cb,074115cb_S01,Evaluation,11,True
b2c2c545,b2c2c545_S01,Application,8,False
b2d74038,b2d74038_S01,Application,12,True
b2d74038,b2d74038_S02,Application,8,True
b2d74038,b2d74038_S03,Application,14,True
9d328f77,9d328f77_S01,Application,6,False
e0918acf,e0918acf_S01,Application,15,True
e0918acf,e0918acf_S02,Application,12,True
e0918acf,e0918acf_S03,Application,10,True
e0918acf,e0918acf_S04,Application,6,True
e0918acf,e0918acf_S05,Application,10,True
73feeda4,73feeda4_S01,Evaluation,10,False
73feeda4,73feeda4_S02,Application,7,False
73feeda4,73feeda4_S03,Application,4,True
73feeda4,73feeda4_S04,Application,3,True
12ab97fd,12ab97fd_S01,Application,17,True
12ab97fd,12ab97fd_S02,Application,9,True
a347bc75,a347bc75_S01,Application,7,False
02cb4b3e,02cb4b3e_S01,Evaluation,11,False
02cb4b3e,02cb4b3e_S02,Application,14,True
02cb4b3e,02cb4b3e_S03,Application,12,True
02cb4b3e,02cb4b3e_S04,Application,9,True
02cb4b3e,02cb4b3e_S05,Application,13,True
02cb4b3e,02cb4b3e_S06,Application,10,True
765dcaf2,765dcaf2_S01,Awareness,8,False
765dcaf2,765dcaf2_S02,Awareness,3,False
b7b0ea17,b7b0ea17_S01,Application,12,False
b7b0ea17,b7b0ea17_S02,Application,13,True
b7b0ea17,b7b0ea17_S03,Application,13,True
1d3862a4,1d3862a4_S01,Awareness,14,True
1d3862a4,1d3862a4_S02,Awareness,10,True
1d3862a4,1d3862a4_S03,Awareness,7,True
1d3862a4,1d3862a4_S04,Awareness,8,True
0c00a87d,0c00a87d_S01,Application,5,False
0c00a87d,0c00a87d_S02,Application,6,False
0c00a87d,0c00a87d_S03,Application,3,False
5019fc35,5019fc35_S01,Consideration,2,False
67f02ec3,67f02ec3_S01,Application,12,False
67f02ec3,67f02ec3_S02,Application,12,True
67f02ec3,67f02ec3_S03,Application,10,True
67f02ec3,67f02ec3_S04,Application,16,True
67f02ec3,67f02ec3_S05,Application,12,True
67f02ec3,67f02ec3_S06,Application,8,True
67f02ec3,67f02ec3_S07,Application,14,True
d3e44274,d3e44274_S01,Application,14,True
d3e44274,d3e44274_S02,Application,8,True
d3e44274,d3e44274_S03,Application,12,True
d3e44274,d3e44274_S04,Application,12,True
d3e44274,d3e44274_S05,Application,15,True
d3e44274,d3e44274_S06,Application,18,True
d3e44274,d3e44274_S07,Application,10,True
d3e44274,d3e44274_S08,Application,11,True
d3e44274,d3e44274_S09,Application,13,True
d3e44274,d3e44274_S10,Application,18,True
d3e44274,d3e44274_S11,Application,8,True
d3e44274,d3e44274_S12,Application,16,True
b7afc9c8,b7afc9c8_S01,Awareness,13,True
b7afc9c8,b7afc9c8_S02,Application,10,True
b7afc9c8,b7afc9c8_S03,Application,10,True
b7afc9c8,b7afc9c8_S04,Application,17,True
b7afc9c8,b7afc9c8_S05,Application,10,True
e230957f,e230957f_S01,Awareness,3,False
1399e506,1399e506_S01,Application,10,False
ecd56aac,ecd56aac_S01,Awareness,13,True
ecd56aac,ecd56aac_S02,Evaluation,14,True
ecd56aac,ecd56aac_S03,Application,14,True
ecd56aac,ecd56aac_S04,Application,13,True
ecd56aac,ecd56aac_S05,Application,15,True
9c5e24a5,9c5e24a5_S01,Application,11,True
9c5e24a5,9c5e24a5_S02,Application,7,True
9c5e24a5,9c5e24a5_S03,Application,8,True
9c5e24a5,9c5e24a5_S04,Application,15,True
9c5e24a5,9c5e24a5_S05,Application,13,True
9c5e24a5,9c5e24a5_S06,Application,6,True
4bea1c54,4bea1c54_S01,Application,15,True
4bea1c54,4bea1c54_S02,Application,14,True
4bea1c54,4bea1c54_S03,Application,17,True
4bea1c54,4bea1c54_S04,Application,6,True
987b6712,987b6712_S01,Application,5,False
987b6712,987b6712_S02,Application,9,False
a5e380cb,a5e380cb_S01,Application,9,True
a5e380cb,a5e380cb_S02,Application,10,True
a5e380cb,a5e380cb_S03,Application,16,True
a5e380cb,a5e380cb_S04,Application,14,True
a5e380cb,a5e380cb_S05,Application,11,True
a5e380cb,a5e380cb_S06,Application,8,True
a5e380cb,a5e380cb_S07,Application,9,True
dc396d7d,dc396d7d_S01,Application,5,True
dc396d7d,dc396d7d_S02,Application,10,True
dc396d7d,dc396d7d_S03,Application,4,True
dc396d7d,dc396d7d_S04,Application,11,True
602ec23d,602ec23d_S01,Application,6,False
d004b18e,d004b18e_S01,Application,14,True
d004b18e,d004b18e_S02,Application,18,True
d004b18e,d004b18e_S03,Application,9,True
