intern_id,department,duration_weeks,academic_background,enrollment_date,completion_status,completion_date,dropout_week,dropout_reason,mentor_interaction,weekly_hours,final_project_score,mentor_feedback_score,age,gpa,program_year,program_month,completion_numeric
INT_0022,Research,16,Other,6/24/2023,Completed,10/14/2023,,,Low,34.2,89,10,24,3.27,2023,6,1
INT_0023,Data Science,24,Computer Science,5/15/2023,Completed,10/30/2023,,,High,34.9,68.3,6.9,30,2.8,2023,5,1
INT_0024,Data Science,8,Other,6/2/2023,Completed,7/28/2023,,,High,35.3,100,8.2,26,3.32,2023,6,1
INT_0025,Business,12,Business,7/11/2023,Completed,10/3/2023,,,Medium,36.7,84.9,9.7,26,2.74,2023,7,1
INT_0026,Business,8,Science,6/15/2023,Dropped Out,,1,Job Offer,Medium,31.3,51.4,8.8,30,2.64,2023,6,0
INT_0027,Marketing,12,Computer Science,5/4/2023,Completed,7/27/2023,,,High,30.6,85.8,7.8,19,3.57,2023,5,1
INT_0028,Engineering,24,Computer Science,9/30/2023,Completed,3/16/2024,,,High,35.5,80,6.2,20,3.23,2023,9,1
INT_0029,Research,24,Science,3/26/2023,Completed,9/10/2023,,,Medium,37.7,75.9,9.4,27,3.14,2023,3,1
INT_0030,Design,12,Science,12/20/2023,Completed,3/13/2024,,,Low,31.1,81.8,9.7,22,2.71,2023,12,1
INT_0031,Design,16,Arts,9/22/2023,Dropped Out,,4,Personal,Medium,35.9,100,5.4,19,3.12,2023,9,0
INT_0032,Marketing,8,Science,10/11/2023,Dropped Out,,2,Academic,Low,27.1,76.7,3.5,19,2.67,2023,10,0
INT_0033,Research,8,Business,2/4/2023,Completed,4/1/2023,,,High,38.1,97.2,8.8,23,3.54,2023,2,1
INT_0034,Engineering,12,Engineering,12/9/2023,Completed,3/2/2024,,,Medium,36.5,77.9,10,26,3.39,2023,12,1
INT_0035,Data Science,24,Business,8/31/2023,Completed,2/15/2024,,,High,38.7,75.5,7.4,21,2.75,2023,8,1
INT_0036,Engineering,8,Other,8/9/2023,Completed,10/4/2023,,,Medium,39.8,89.1,9.7,24,3.96,2023,8,1
INT_0037,Design,8,Other,12/1/2023,Completed,1/26/2024,,,High,28.2,77.3,9.8,19,3.1,2023,12,1
INT_0038,Engineering,24,Other,6/23/2023,Completed,12/8/2023,,,High,35.1,99.5,8.1,19,4.29,2023,6,1
INT_0039,Data Science,12,Business,10/2/2023,Completed,12/25/2023,,,Medium,30.2,94.8,8.6,24,3.15,2023,10,1
INT_0040,Data Science,16,Arts,5/8/2023,Completed,8/28/2023,,,High,33.9,92.1,9.2,19,3.17,2023,5,1
INT_0041,Design,8,Computer Science,11/30/2023,Dropped Out,,7,Academic,High,21.4,76.7,8.1,19,3.06,2023,11,0
INT_0042,Data Science,12,Arts,9/6/2023,Completed,11/29/2023,,,Medium,36.1,72.5,8.8,24,3.35,2023,9,1
INT_0043,Engineering,12,Arts,1/2/2023,Completed,3/27/2023,,,High,36.2,76.9,10,22,3.22,2023,1,1
INT_0044,Design,16,Arts,12/23/2023,Completed,4/13/2024,,,High,40.4,95.5,6.4,30,2.82,2023,12,1
INT_0045,Business,24,Business,4/8/2023,Completed,9/23/2023,,,Low,36.5,87.6,8.5,18,3.55,2023,4,1
INT_0046,Business,8,Other,6/10/2023,Completed,8/5/2023,,,Low,37.9,96.4,9.9,27,3.46,2023,6,1
INT_0047,Design,12,Computer Science,9/18/2023,Dropped Out,,3,Academic,Low,15.8,42.5,6.3,27,2.86,2023,9,0
INT_0048,Engineering,12,Arts,3/3/2023,Completed,5/26/2023,,,High,46.6,66.3,9.5,27,2.55,2023,3,1
INT_0049,Data Science,8,Science,2/11/2023,Completed,4/8/2023,,,Medium,30.5,81.7,10,27,3.25,2023,2,1
INT_0050,Business,16,Engineering,4/15/2023,Completed,8/5/2023,,,Medium,31.3,87.2,8.6,23,2.94,2023,4,1
INT_0051,Data Science,16,Arts,3/9/2023,Completed,6/29/2023,,,Medium,41.8,93.3,8.5,22,3.38,2023,3,1
INT_0052,Design,16,Computer Science,1/5/2023,Completed,4/27/2023,,,Medium,31.7,93.5,7.3,27,3.15,2023,1,1
INT_0053,Engineering,8,Science,4/20/2023,Completed,6/15/2023,,,High,31.1,100,8,20,3.07,2023,4,1
INT_0054,Marketing,8,Business,7/9/2023,Completed,9/3/2023,,,Low,43.8,89,6.6,25,3.57,2023,7,1
INT_0055,Business,16,Science,12/1/2023,Dropped Out,,11,Health,Medium,28,89.8,3.3,22,3.94,2023,12,0
INT_0056,Research,8,Business,5/16/2023,Completed,7/11/2023,,,Low,41.3,77.9,9.2,19,3.51,2023,5,1
INT_0057,Research,12,Engineering,5/25/2023,Completed,8/17/2023,,,High,34.9,75.7,6.6,29,3.16,2023,5,1
INT_0058,Marketing,12,Other,11/21/2023,Completed,2/13/2024,,,High,43.2,70.7,7.8,26,3.25,2023,11,1
INT_0059,Design,16,Computer Science,2/17/2023,Completed,6/9/2023,,,Medium,35.3,100,9.1,22,3.56,2023,2,1
INT_0060,Engineering,8,Engineering,3/8/2023,Completed,5/3/2023,,,High,36,79,8.6,22,3.05,2023,3,1
INT_0061,Data Science,24,Science,12/28/2023,Dropped Out,,1,Academic,Medium,10,84.2,4.8,19,4.04,2023,12,0
INT_0062,Research,12,Science,1/19/2023,Completed,4/13/2023,,,High,34.2,90.9,8.9,27,2.95,2023,1,1
INT_0063,Business,12,Arts,3/7/2023,Completed,5/30/2023,,,Low,39.4,80.4,7.6,23,3.06,2023,3,1
INT_0064,Engineering,16,Business,12/16/2023,Completed,4/6/2024,,,Medium,39.5,88.1,9.7,19,3.45,2023,12,1
INT_0065,Marketing,24,Science,3/21/2023,Completed,9/5/2023,,,High,37.8,77.9,5.8,21,2.71,2023,3,1
INT_0066,Data Science,12,Arts,1/13/2023,Dropped Out,,6,Performance,Low,29.4,62,5.6,30,3.64,2023,1,0
INT_0067,Research,12,Engineering,3/23/2023,Completed,6/15/2023,,,High,33,87.6,8.5,19,3.57,2023,3,1
INT_0068,Design,8,Arts,4/24/2023,Dropped Out,,4,Job Offer,Low,30.5,60.3,6.6,22,3.15,2023,4,0
INT_0069,Data Science,12,Computer Science,12/4/2023,Dropped Out,,6,Job Offer,Low,40.3,81,2.4,19,3.02,2023,12,0
INT_0070,Marketing,16,Other,9/18/2023,Completed,1/8/2024,,,Low,40.8,92.9,9.4,26,3.45,2023,9,1
INT_0071,Marketing,8,Computer Science,5/14/2023,Completed,7/9/2023,,,Low,31.5,84.9,5.4,22,3.91,2023,5,1
INT_0072,Engineering,8,Science,8/11/2023,Dropped Out,,7,Job Offer,Medium,18.4,60.2,6.8,24,2.97,2023,8,0
INT_0073,Business,8,Arts,10/23/2023,Dropped Out,,1,Performance,Low,21.5,68.1,7.1,18,3.55,2023,10,0
INT_0074,Business,12,Engineering,8/9/2023,Completed,11/1/2023,,,Low,27.8,70.9,7.4,28,3.11,2023,8,1
INT_0075,Marketing,16,Other,3/5/2023,Dropped Out,,5,Health,Medium,10,88.6,5.4,22,3.2,2023,3,0
INT_0076,Research,24,Engineering,7/26/2023,Completed,1/10/2024,,,High,36.6,76.7,9.3,26,3.81,2023,7,1
INT_0077,Data Science,12,Arts,12/7/2023,Dropped Out,,11,Personal,High,13.4,52.3,5.3,27,3.38,2023,12,0
INT_0078,Business,16,Arts,10/8/2023,Dropped Out,,5,Job Offer,High,26.8,65.2,6.2,21,2.89,2023,10,0
INT_0079,Design,16,Arts,8/15/2023,Dropped Out,,4,Health,Medium,43.2,71.1,5.1,25,3.94,2023,8,0
INT_0080,Research,12,Other,2/13/2023,Completed,5/8/2023,,,Medium,39.4,86.8,10,28,2.88,2023,2,1
INT_0081,Research,16,Computer Science,5/1/2023,Completed,8/21/2023,,,High,34.2,71.4,10,21,2.48,2023,5,1
INT_0082,Data Science,12,Computer Science,1/24/2023,Completed,4/18/2023,,,Low,36.7,100,9.9,25,2.97,2023,1,1
INT_0083,Business,8,Arts,8/1/2023,Completed,9/26/2023,,,High,38.7,99.8,9.6,27,3.15,2023,8,1
INT_0084,Data Science,24,Arts,7/24/2023,Dropped Out,,21,Academic,Low,34.4,58,2.6,30,3.74,2023,7,0
INT_0085,Engineering,24,Business,4/1/2023,Dropped Out,,23,Health,High,27.2,69.2,1.1,25,2.84,2023,4,0
INT_0086,Engineering,12,Computer Science,8/22/2023,Completed,11/14/2023,,,Low,35,85.5,7.8,25,3.45,2023,8,1
INT_0087,Research,16,Arts,11/10/2023,Completed,3/1/2024,,,High,28.2,90.4,10,26,3.82,2023,11,1
INT_0088,Design,24,Business,9/1/2023,Completed,2/16/2024,,,Medium,36.7,77.5,10,30,3.25,2023,9,1
INT_0089,Data Science,16,Science,9/6/2023,Completed,12/27/2023,,,Medium,35.8,96.5,10,22,3.27,2023,9,1
INT_0090,Design,8,Other,5/27/2023,Completed,7/22/2023,,,Low,38.2,98.7,7.1,23,3.47,2023,5,1
INT_0091,Marketing,8,Business,3/19/2023,Completed,5/14/2023,,,Low,26.3,99.4,9.8,29,3.15,2023,3,1
INT_0092,Data Science,12,Computer Science,8/1/2023,Completed,10/24/2023,,,Medium,42.5,85.7,10,26,2.65,2023,8,1
INT_0093,Design,24,Computer Science,4/16/2023,Dropped Out,,13,Health,High,24.9,76.9,5.4,29,2.53,2023,4,0
INT_0094,Engineering,24,Arts,1/4/2023,Dropped Out,,10,Performance,High,10,63.7,3.4,24,3.47,2023,1,0
INT_0095,Business,12,Arts,4/23/2023,Completed,7/16/2023,,,Low,29.5,89.9,9.6,25,3.08,2023,4,1
INT_0096,Engineering,24,Engineering,12/9/2023,Completed,5/25/2024,,,High,30.1,90,7.7,24,2.88,2023,12,1
INT_0097,Research,12,Arts,3/7/2023,Completed,5/30/2023,,,High,27.8,83.1,8.6,26,2.29,2023,3,1
INT_0098,Engineering,24,Science,10/16/2023,Completed,4/1/2024,,,High,31.5,87.1,8.3,19,3.11,2023,10,1
INT_0099,Research,24,Business,8/25/2023,Dropped Out,,9,Performance,Low,19.1,73.7,4.9,23,2.71,2023,8,0
INT_0100,Data Science,24,Engineering,6/22/2023,Completed,12/7/2023,,,Medium,27.4,98.7,10,24,3.1,2023,6,1
INT_0101,Marketing,24,Engineering,2/11/2023,Completed,7/29/2023,,,Medium,39.3,75.1,8.5,29,3.59,2023,2,1
INT_0102,Business,8,Engineering,4/25/2023,Completed,6/20/2023,,,Medium,34.4,75.4,6.1,30,3.28,2023,4,1
INT_0103,Research,8,Computer Science,5/7/2023,Completed,7/2/2023,,,Low,34.1,84.5,6.9,18,2.94,2023,5,1
INT_0104,Business,12,Business,3/6/2023,Completed,5/29/2023,,,Medium,43.4,93.8,8.5,19,3.79,2023,3,1
INT_0105,Business,12,Arts,12/25/2023,Completed,3/18/2024,,,Low,46.9,95.1,7.8,23,3.83,2023,12,1
INT_0106,Data Science,8,Business,6/9/2023,Completed,8/4/2023,,,Low,30.6,71.2,9.9,18,3.96,2023,6,1
INT_0107,Marketing,24,Arts,4/12/2023,Completed,9/27/2023,,,Low,35.1,86.3,8,29,3.1,2023,4,1
INT_0108,Research,12,Computer Science,12/23/2023,Completed,3/16/2024,,,High,31.7,80.1,7.6,28,2.85,2023,12,1
INT_0109,Business,8,Science,1/22/2023,Completed,3/19/2023,,,Low,22.5,91.8,9.1,24,3.17,2023,1,1
INT_0110,Research,16,Computer Science,9/17/2023,Completed,1/7/2024,,,High,32.1,92.6,9.3,18,2.81,2023,9,1
INT_0111,Design,24,Computer Science,8/10/2023,Dropped Out,,21,Performance,High,41.3,89.3,7.9,29,2.9,2023,8,0
INT_0112,Data Science,24,Business,9/25/2023,Completed,3/11/2024,,,High,31.2,67,6.1,22,3.22,2023,9,1
INT_0113,Business,24,Arts,8/12/2023,Completed,1/27/2024,,,High,27.4,93,6.8,27,3.31,2023,8,1
INT_0114,Marketing,16,Business,2/14/2023,Completed,6/6/2023,,,Low,31.7,85.5,7.2,25,3.05,2023,2,1
INT_0115,Data Science,24,Science,11/9/2023,Completed,4/25/2024,,,Medium,32,92.6,10,23,3.51,2023,11,1
INT_0116,Engineering,24,Engineering,4/4/2023,Completed,9/19/2023,,,Medium,22.6,77,9.4,23,3.12,2023,4,1
INT_0117,Marketing,16,Engineering,11/2/2023,Dropped Out,,5,Health,Medium,26.4,66.3,7,18,3.83,2023,11,0
INT_0118,Business,12,Computer Science,5/4/2023,Dropped Out,,8,Health,Medium,27.7,58.8,5,30,3.03,2023,5,0
INT_0119,Data Science,24,Other,12/31/2023,Completed,6/16/2024,,,Medium,37.7,95.3,5.2,30,3.34,2023,12,1
INT_0120,Engineering,8,Engineering,4/24/2023,Dropped Out,,2,Job Offer,Medium,34.6,58.9,1.9,28,2.8,2023,4,0
INT_0121,Business,16,Arts,10/11/2023,Completed,1/31/2024,,,Medium,40.3,76.6,6.1,24,3.21,2023,10,1
INT_0122,Research,16,Engineering,12/26/2023,Dropped Out,,5,Job Offer,Medium,31.6,31.8,6.5,21,3.51,2023,12,0
INT_0123,Engineering,12,Engineering,3/3/2023,Completed,5/26/2023,,,High,35.8,90.7,7.2,30,3.04,2023,3,1
INT_0124,Research,12,Business,4/21/2023,Completed,7/14/2023,,,High,38.2,100,8.8,22,3.3,2023,4,1
INT_0125,Research,16,Computer Science,4/10/2023,Completed,7/31/2023,,,Medium,29.5,76.8,10,23,3.36,2023,4,1
INT_0126,Data Science,16,Computer Science,12/29/2023,Dropped Out,,5,Academic,Medium,33.3,57.3,5.5,18,2.81,2023,12,0
INT_0127,Business,16,Other,3/6/2023,Dropped Out,,13,Performance,Medium,21.6,56.7,7.9,19,3.59,2023,3,0
INT_0128,Engineering,16,Arts,9/3/2023,Completed,12/24/2023,,,Medium,37.1,100,7.3,20,2.7,2023,9,1
INT_0129,Engineering,16,Arts,2/28/2023,Completed,6/20/2023,,,High,35.9,93.4,7.2,24,2.27,2023,2,1
INT_0130,Design,8,Science,11/19/2023,Dropped Out,,2,Personal,Medium,27.2,48.1,10,30,3.25,2023,11,0
INT_0131,Business,16,Computer Science,5/8/2023,Completed,8/28/2023,,,Low,43.9,90.9,8.8,30,3.38,2023,5,1
INT_0132,Design,12,Science,7/14/2023,Completed,10/6/2023,,,Medium,44.4,98.5,10,25,3,2023,7,1
INT_0133,Marketing,24,Engineering,10/19/2023,Dropped Out,,20,Academic,Medium,24.3,76.7,10,30,3.41,2023,10,0
INT_0134,Data Science,12,Engineering,12/5/2023,Completed,2/27/2024,,,Low,34.2,80.7,7,21,2.54,2023,12,1
INT_0135,Data Science,8,Business,1/2/2023,Completed,2/27/2023,,,Medium,33.9,91.3,10,29,2.87,2023,1,1
INT_0136,Business,24,Engineering,1/17/2023,Dropped Out,,23,Job Offer,Low,22.9,42.5,5.5,29,3.09,2023,1,0
INT_0137,Design,8,Other,4/30/2023,Completed,6/25/2023,,,High,39,83.4,10,30,2.46,2023,4,1
INT_0138,Research,12,Arts,2/28/2023,Completed,5/23/2023,,,High,33.7,73.9,10,28,3.22,2023,2,1
INT_0139,Data Science,16,Business,2/6/2023,Completed,5/29/2023,,,Low,31.1,91.7,8.3,30,3.26,2023,2,1
INT_0140,Marketing,16,Arts,3/5/2023,Completed,6/25/2023,,,Medium,34.8,79.6,7.4,22,3.24,2023,3,1
INT_0141,Research,24,Engineering,9/14/2023,Completed,2/29/2024,,,High,41.9,58.4,5.4,25,2.7,2023,9,1
INT_0142,Engineering,8,Arts,6/15/2023,Completed,8/10/2023,,,High,33.3,81.3,6.4,18,2.89,2023,6,1
INT_0143,Engineering,12,Other,10/22/2023,Completed,1/14/2024,,,High,33.2,84.3,9.2,18,2.89,2023,10,1
INT_0144,Research,16,Science,1/21/2023,Completed,5/13/2023,,,High,38.6,73.7,7.7,20,3.4,2023,1,1
INT_0145,Design,24,Engineering,4/3/2023,Completed,9/18/2023,,,High,33.2,82.7,9.7,24,2.82,2023,4,1
INT_0146,Research,24,Computer Science,8/29/2023,Dropped Out,,11,Job Offer,Medium,22.1,82.4,3.8,28,3.45,2023,8,0
INT_0147,Engineering,12,Engineering,7/30/2023,Completed,10/22/2023,,,High,26.7,100,6.6,22,2.87,2023,7,1
INT_0148,Research,24,Science,1/19/2023,Completed,7/6/2023,,,Medium,27.2,91.1,6.6,23,3.9,2023,1,1
INT_0149,Marketing,16,Computer Science,7/26/2023,Completed,11/15/2023,,,High,26.2,79.6,10,18,3.19,2023,7,1
INT_0150,Research,24,Arts,1/28/2023,Dropped Out,,12,Health,Low,22.1,64.1,6.6,30,2.52,2023,1,0
INT_0151,Design,24,Computer Science,4/15/2023,Dropped Out,,5,Job Offer,Low,20,58.7,3.4,25,3.24,2023,4,0
INT_0152,Research,24,Computer Science,1/15/2023,Completed,7/2/2023,,,High,36,75.2,9.1,27,2.52,2023,1,1
INT_0153,Data Science,12,Engineering,10/10/2023,Dropped Out,,7,Academic,Low,21.2,72.9,9.2,21,3.83,2023,10,0
INT_0154,Engineering,24,Computer Science,11/28/2023,Completed,5/14/2024,,,High,25.8,72.2,7.6,25,3.21,2023,11,1
INT_0155,Research,16,Science,12/28/2023,Completed,4/18/2024,,,Medium,33.3,87,6.3,25,3.43,2023,12,1
INT_0156,Design,12,Arts,10/10/2023,Completed,1/2/2024,,,Low,30.4,71.5,7,21,3.62,2023,10,1
INT_0157,Business,12,Computer Science,5/22/2023,Completed,8/14/2023,,,Medium,45.4,82,8.6,24,3.27,2023,5,1
INT_0158,Marketing,16,Computer Science,5/25/2023,Completed,9/14/2023,,,Medium,32.1,86.2,10,27,3.16,2023,5,1
INT_0159,Business,24,Business,8/17/2023,Completed,2/1/2024,,,Medium,33.2,87.4,8.8,23,3.07,2023,8,1
INT_0160,Marketing,24,Arts,6/14/2023,Completed,11/29/2023,,,High,31.9,100,9.6,29,2.98,2023,6,1
INT_0161,Data Science,24,Business,7/30/2023,Dropped Out,,16,Performance,Low,16.3,78.9,2.5,24,3.66,2023,7,0
INT_0162,Research,12,Arts,1/19/2023,Completed,4/13/2023,,,Low,34.6,91.2,8.8,27,2.67,2023,1,1
INT_0163,Marketing,8,Arts,2/21/2023,Dropped Out,,4,Academic,Medium,31.5,74.3,8.6,29,3.62,2023,2,0
INT_0164,Data Science,24,Other,3/21/2023,Dropped Out,,9,Job Offer,Low,24.4,40.1,6.9,27,3.28,2023,3,0
INT_0165,Research,24,Other,2/11/2023,Completed,7/29/2023,,,High,39.1,86.3,9.2,28,3.11,2023,2,1
INT_0166,Business,24,Engineering,11/17/2023,Dropped Out,,16,Health,Medium,24.7,75.2,6.1,18,3.21,2023,11,0
INT_0167,Business,8,Business,11/20/2023,Completed,1/15/2024,,,Medium,28,90,6.9,22,3.71,2023,11,1
INT_0168,Data Science,8,Arts,2/20/2023,Completed,4/17/2023,,,Medium,34.1,80.6,10,29,3.28,2023,2,1
INT_0169,Engineering,24,Business,12/22/2023,Completed,6/7/2024,,,Medium,39.3,87.8,6.5,18,3.43,2023,12,1
INT_0170,Engineering,16,Computer Science,5/31/2023,Completed,9/20/2023,,,Medium,35.4,95.7,7.7,24,3.76,2023,5,1
INT_0171,Data Science,12,Science,7/30/2023,Completed,10/22/2023,,,Medium,39.6,88.1,6,30,2.5,2023,7,1
INT_0172,Data Science,12,Business,2/10/2023,Completed,5/5/2023,,,Medium,32.9,82.2,6.5,24,2.83,2023,2,1
INT_0173,Business,12,Arts,10/26/2023,Completed,1/18/2024,,,Low,25.3,72.9,6.9,25,3.47,2023,10,1
INT_0174,Research,16,Arts,5/11/2023,Dropped Out,,15,Performance,High,32.9,61.8,5.9,22,3.47,2023,5,0
INT_0175,Research,12,Computer Science,8/15/2023,Completed,11/7/2023,,,High,40.8,100,6.1,27,3.23,2023,8,1
INT_0176,Marketing,24,Other,5/9/2023,Completed,10/24/2023,,,Medium,31.9,79.4,7.5,22,3.68,2023,5,1
INT_0177,Data Science,24,Arts,2/24/2023,Completed,8/11/2023,,,Low,33.1,73.3,9.7,27,3.62,2023,2,1
INT_0178,Marketing,16,Other,6/1/2023,Completed,9/21/2023,,,Low,32.2,91.3,8.8,28,2.59,2023,6,1
INT_0179,Design,16,Computer Science,10/17/2023,Completed,2/6/2024,,,High,30.8,86.6,8,30,3.43,2023,10,1
INT_0180,Research,8,Science,9/12/2023,Completed,11/7/2023,,,High,36.4,88.3,9.5,22,4,2023,9,1
INT_0181,Data Science,16,Business,11/22/2023,Completed,3/13/2024,,,Low,26.3,72.4,9.8,22,2.82,2023,11,1
INT_0182,Research,12,Other,2/19/2023,Completed,5/14/2023,,,High,32.4,87.2,8.5,28,3.68,2023,2,1
INT_0183,Engineering,16,Arts,1/18/2023,Completed,5/10/2023,,,High,41,88.4,10,29,2.75,2023,1,1
INT_0184,Data Science,8,Engineering,6/17/2023,Completed,8/12/2023,,,Medium,37.9,81.4,9.4,20,3.64,2023,6,1
INT_0185,Data Science,12,Science,7/7/2023,Dropped Out,,5,Personal,Medium,28.2,75.7,7,22,3.54,2023,7,0
INT_0186,Design,16,Other,6/23/2023,Completed,10/13/2023,,,High,41.9,91.5,8.2,25,3.26,2023,6,1
INT_0187,Engineering,12,Business,12/13/2023,Completed,3/6/2024,,,High,31.6,89.9,9.1,24,3.36,2023,12,1
INT_0188,Business,16,Computer Science,7/22/2023,Completed,11/11/2023,,,Low,36,85.5,6.5,26,3.5,2023,7,1
INT_0189,Engineering,24,Engineering,12/11/2023,Completed,5/27/2024,,,High,42.5,87.1,8.9,22,3.04,2023,12,1
INT_0190,Business,24,Other,7/10/2023,Completed,12/25/2023,,,Low,34.5,87.8,9.4,21,3.27,2023,7,1
INT_0191,Design,8,Science,10/15/2023,Completed,12/10/2023,,,Low,35.9,89.1,8.2,27,3.04,2023,10,1
INT_0192,Data Science,8,Other,8/26/2023,Completed,10/21/2023,,,High,35.7,78,10,22,2.59,2023,8,1
INT_0193,Research,24,Computer Science,3/13/2023,Completed,8/28/2023,,,Low,36.8,79.7,8.3,18,2.39,2023,3,1
INT_0194,Marketing,24,Computer Science,2/19/2023,Dropped Out,,18,Personal,Low,20.6,93.2,3.1,24,2.32,2023,2,0
INT_0195,Design,16,Other,12/23/2023,Completed,4/13/2024,,,High,38.2,94.9,10,24,3.72,2023,12,1
INT_0196,Business,12,Arts,12/2/2023,Completed,2/24/2024,,,Low,38.3,84,10,25,2.77,2023,12,1
INT_0197,Business,24,Engineering,1/17/2023,Completed,7/4/2023,,,Medium,39.5,82.9,7.4,21,2.93,2023,1,1
INT_0198,Design,24,Business,7/5/2023,Completed,12/20/2023,,,Low,28.7,99.4,8.4,28,3.65,2023,7,1
INT_0199,Marketing,16,Computer Science,7/23/2023,Dropped Out,,2,Performance,Low,27.2,61.5,7.4,19,3.49,2023,7,0
INT_0200,Research,12,Other,11/24/2023,Completed,2/16/2024,,,High,38.2,98.3,8.8,18,3.48,2023,11,1
INT_0201,Engineering,16,Business,3/6/2023,Completed,6/26/2023,,,High,29.8,84.5,9.1,21,2.9,2023,3,1
INT_0202,Engineering,12,Science,4/21/2023,Completed,7/14/2023,,,High,34.8,70.7,8.7,21,2.93,2023,4,1
INT_0203,Marketing,12,Science,1/2/2023,Completed,3/27/2023,,,Low,31.8,95,8.1,20,3.19,2023,1,1
INT_0204,Data Science,16,Business,2/26/2023,Completed,6/18/2023,,,Medium,32.7,60.8,6.1,18,3.5,2023,2,1
INT_0205,Data Science,8,Engineering,5/2/2023,Completed,6/27/2023,,,Medium,36.9,89.8,8.5,18,2.97,2023,5,1
INT_0206,Data Science,16,Computer Science,3/6/2023,Completed,6/26/2023,,,Medium,35,73.4,10,26,3.55,2023,3,1
INT_0207,Engineering,8,Arts,8/18/2023,Completed,10/13/2023,,,High,30.6,85.4,8.1,26,3.17,2023,8,1
INT_0208,Business,8,Arts,9/15/2023,Completed,11/10/2023,,,Low,30,82.2,10,27,3.46,2023,9,1
INT_0209,Engineering,16,Arts,11/26/2023,Completed,3/17/2024,,,High,32.5,80.6,8.9,18,2.88,2023,11,1
INT_0210,Design,24,Arts,12/18/2023,Dropped Out,,23,Performance,Low,25.5,55.3,7.4,19,3.36,2023,12,0
INT_0211,Engineering,16,Science,3/17/2023,Dropped Out,,5,Health,Low,20.4,81.3,6.2,28,3.58,2023,3,0
INT_0212,Business,16,Arts,11/2/2023,Dropped Out,,8,Health,Medium,41.6,54.7,9.5,27,3.28,2023,11,0
INT_0213,Design,8,Other,2/28/2023,Completed,4/25/2023,,,High,29.8,79.7,9.4,28,3.65,2023,2,1
INT_0214,Business,12,Arts,8/20/2023,Completed,11/12/2023,,,High,43.6,89.4,8.6,24,3.25,2023,8,1
INT_0215,Marketing,24,Arts,8/1/2023,Completed,1/16/2024,,,Medium,32.5,87.1,10,23,3.16,2023,8,1
INT_0216,Design,16,Other,5/11/2023,Dropped Out,,3,Performance,Low,21.1,88.6,3.5,19,2.61,2023,5,0
INT_0217,Engineering,8,Computer Science,8/10/2023,Dropped Out,,6,Job Offer,Low,12.5,95,5.8,30,3.91,2023,8,0
