university,gpa,country,timezone,submission_duration_min,position_applied,years_experience,technical_skills_count,soft_skills_count,resume_file_size_kb,device_type,referral_source,is_fraudulent,email_username_length,has_suspicious_domain,name_length_ratio,suspicious_ip,submission_speed,application_hour,is_night_hour,application_dayofweek,application_month
Online University,3.89,Germany,UTC,7,Business Analyst Intern,8,6,6,55,Windows Chrome,,True,11,1,0.5,0,1.1666666666666667,10,0,1,3
Community College,3.74,Australia,PST,69,Marketing Intern,3,5,3,73,Windows Chrome,University,False,13,0,0.45,0,13.8,12,0,5,5
Community College,3.29,USA,CET,30,Data Science Intern,0,4,4,186,Windows Firefox,Job Portal,False,16,0,0.6,0,7.5,10,0,5,3
International University,3.29,China,GMT,78,Data Science Intern,0,4,2,87,Mac Safari,Job Portal,False,13,0,0.45,0,19.5,14,0,4,6
Liberal Arts College,3.63,Germany,EST,103,Research Assistant,0,2,2,151,Mobile iOS,Job Portal,False,13,0,0.45,0,51.5,13,0,4,1
Online University,3.66,India,Unknown,10,Business Analyst Intern,5,10,5,73,Automated Script,,True,14,0,0.6,1,1.0,23,0,3,3
International University,3.52,Canada,GMT,35,Research Assistant,0,3,3,180,Windows Chrome,Job Portal,False,13,0,0.45,0,11.666666666666666,12,0,0,1
International University,2.79,Germany,PST,111,Software Developer Intern,1,3,4,488,Mac Safari,Job Portal,False,16,0,0.6,0,37.0,13,0,5,4
State University,3.76,UK,CET,56,Data Science Intern,4,4,4,294,Mac Safari,LinkedIn,False,16,0,0.6,0,14.0,16,0,1,6
International University,3.43,Germany,GMT,31,Business Analyst Intern,2,2,2,347,Mobile iOS,LinkedIn,False,16,0,0.6,0,15.5,11,0,5,3
State University,3.34,Australia,IST,36,Business Analyst Intern,1,4,4,218,Windows Chrome,Company Website,False,12,0,0.45,0,9.0,9,0,5,3
Community College,3.81,Australia,Unknown,8,Research Assistant,8,6,5,85,Automated Script,Direct,True,16,0,0.8,1,1.3333333333333333,11,0,2,5
Liberal Arts College,3.44,China,EST,76,Data Science Intern,3,4,2,140,Mac Safari,Company Website,False,14,0,0.5,0,19.0,14,0,3,5
Online University,3.78,Germany,,3,Business Analyst Intern,5,10,5,78,Automated Script,,True,17,0,0.75,1,0.3,23,0,1,4
International University,3.39,India,CET,73,Data Science Intern,2,4,4,309,Windows Chrome,Job Portal,False,14,0,0.5,0,18.25,14,0,0,3
Community College,3.77,China,CST,112,Software Developer Intern,3,5,3,289,Mac Safari,Company Website,False,14,0,0.5,0,22.4,14,0,0,6
Community College,3.51,Canada,GMT,28,Research Assistant,1,3,2,111,Windows Chrome,LinkedIn,False,13,0,0.45,0,9.333333333333334,15,0,2,5
Liberal Arts College,3.59,Germany,CET,70,Business Analyst Intern,3,5,2,152,Mac Safari,Company Website,False,14,0,0.5,0,14.0,12,0,1,3
Liberal Arts College,3.26,China,GMT,41,Software Developer Intern,1,4,2,452,Mobile iOS,LinkedIn,False,15,0,0.55,0,10.25,11,0,6,2
Tech Institute,3.52,Brazil,IST,53,Business Analyst Intern,1,4,4,122,Mac Safari,LinkedIn,False,14,0,0.5,0,13.25,11,0,4,5
No University,3.25,India,,4,Software Developer Intern,7,9,7,90,Unknown Browser,,True,7,0,0.55,0,0.4444444444444444,8,0,4,2
Tech Institute,3.77,Brazil,UTC,1,Software Developer Intern,5,6,8,28,Automated Script,,True,6,1,0.7,1,0.1666666666666666,0,1,0,6
Liberal Arts College,3.17,China,CET,114,Business Analyst Intern,2,4,2,319,Windows Firefox,University,False,14,0,0.5,0,28.5,9,0,3,6
Community College,3.44,China,GMT,88,Software Developer Intern,3,5,3,487,Windows Chrome,University,False,13,0,0.45,0,17.6,15,0,0,3
International University,2.81,Germany,EST,119,Marketing Intern,2,4,4,70,Windows Firefox,University,False,15,0,0.55,0,29.75,12,0,1,3
Tech Institute,2.49,Canada,IST,63,Marketing Intern,1,2,2,80,Windows Firefox,University,False,16,0,0.6,0,31.5,10,0,5,6
International University,3.44,USA,CET,79,Data Science Intern,2,4,4,58,Windows Firefox,Job Portal,False,13,0,0.5,0,19.75,9,0,0,5
Tech Institute,3.45,UK,IST,74,Data Science Intern,0,5,4,103,Mac Safari,Job Portal,False,15,0,0.55,0,14.8,13,0,6,4
Online University,3.48,Germany,EST,115,Software Developer Intern,1,4,2,253,Mobile iOS,University,False,14,0,0.5,0,28.75,16,0,1,1
Online Degree Mill,2.94,China,Unknown,8,Marketing Intern,4,9,6,67,Windows Chrome,,True,10,0,0.7,0,0.8888888888888888,0,1,6,4
Community College,2.94,India,GMT,70,Research Assistant,2,3,3,64,Windows Chrome,LinkedIn,False,16,0,0.6,0,23.33333333333333,12,0,4,3
Tech Institute,2.85,Germany,CST,53,Marketing Intern,0,3,3,445,Mobile iOS,Company Website,False,13,0,0.45,0,17.666666666666668,10,0,6,6
State University,3.1,Canada,CET,98,Marketing Intern,0,2,3,277,Windows Chrome,LinkedIn,False,13,0,0.45,0,49.0,10,0,0,3
Liberal Arts College,2.89,Canada,GMT,22,Business Analyst Intern,0,5,2,103,Mac Safari,Company Website,False,15,0,0.55,0,4.4,11,0,6,3
Online University,3.64,India,GMT,86,Marketing Intern,0,5,2,125,Windows Chrome,University,False,13,0,0.45,0,17.2,15,0,6,2
State University,3.73,Germany,EST,47,Research Assistant,0,4,3,204,Mobile iOS,University,False,16,0,0.6,0,11.75,15,0,5,1
International University,3.43,UK,GMT,53,Marketing Intern,2,4,2,461,Mac Safari,Company Website,False,15,0,0.55,0,13.25,9,0,5,4
International University,3.44,China,CST,105,Research Assistant,1,4,2,162,Mobile iOS,Company Website,False,15,0,0.55,0,26.25,13,0,3,2
Liberal Arts College,3.21,USA,IST,57,Data Science Intern,2,2,3,424,Windows Firefox,Job Portal,False,14,0,0.5,0,28.5,11,0,5,3
International University,3.2,Brazil,EST,71,Software Developer Intern,2,2,2,369,Mobile iOS,Job Portal,False,14,0,0.5,0,35.5,16,0,1,2
Community College,3.58,Australia,PST,92,Data Science Intern,1,4,4,438,Windows Firefox,Job Portal,False,14,0,0.5,0,23.0,9,0,2,6
Liberal Arts College,3.32,China,CST,108,Software Developer Intern,0,3,2,329,Windows Chrome,Company Website,False,15,0,0.55,0,36.0,14,0,3,1
International University,4.01,India,GMT,84,Business Analyst Intern,0,2,4,351,Mobile iOS,Company Website,False,12,0,0.5,0,42.0,10,0,6,1
Liberal Arts College,3.25,Germany,GMT,116,Marketing Intern,1,3,2,450,Mobile iOS,University,False,15,0,0.6,0,38.66666666666666,16,0,2,4
International University,3.24,Australia,IST,103,Business Analyst Intern,1,2,2,267,Mac Safari,University,False,16,0,0.6,0,51.5,14,0,1,5
Tech Institute,3.72,USA,EST,38,Software Developer Intern,1,4,4,198,Windows Chrome,LinkedIn,False,14,0,0.5,0,9.5,10,0,1,4
International University,3.29,China,PST,85,Business Analyst Intern,1,4,3,151,Windows Chrome,Company Website,False,13,0,0.45,0,21.25,16,0,0,1
International University,3.04,Canada,CST,62,Business Analyst Intern,1,5,3,497,Windows Chrome,LinkedIn,False,17,0,0.65,0,12.4,13,0,0,2
International University,3.13,Canada,EST,76,Software Developer Intern,2,4,4,308,Mobile iOS,LinkedIn,False,15,0,0.55,0,19.0,15,0,2,6
Community College,3.43,India,CST,108,Business Analyst Intern,1,4,3,431,Mac Safari,Company Website,False,13,0,0.45,0,27.0,15,0,0,2
Community College,3.81,India,,2,Data Science Intern,7,8,7,88,Unknown Browser,,True,11,1,0.5,0,0.25,12,0,5,6
State University,2.98,India,PST,107,Research Assistant,0,5,4,290,Windows Firefox,Company Website,False,12,0,0.45,0,21.4,10,0,1,4
Liberal Arts College,3.6,Brazil,IST,103,Data Science Intern,0,5,3,146,Windows Chrome,University,False,13,0,0.45,0,20.6,11,0,5,1
International University,3.53,USA,GMT,28,Marketing Intern,2,3,2,214,Mobile iOS,University,False,14,0,0.5,0,9.333333333333334,14,0,1,4
Liberal Arts College,3.53,Germany,EST,29,Research Assistant,1,4,2,341,Windows Chrome,University,False,14,0,0.5,0,7.25,13,0,4,4
State University,3.46,China,IST,50,Marketing Intern,2,3,3,349,Mac Safari,LinkedIn,False,13,0,0.45,0,16.666666666666668,11,0,6,3
Online University,3.53,UK,EST,86,Marketing Intern,1,4,4,325,Windows Firefox,LinkedIn,False,16,0,0.6,0,21.5,15,0,1,4
Online University,4.08,Australia,GMT,118,Software Developer Intern,0,4,4,414,Windows Firefox,LinkedIn,False,13,0,0.45,0,29.5,16,0,4,3
Online University,2.92,USA,PST,27,Software Developer Intern,0,4,3,471,Mac Safari,Job Portal,False,14,0,0.5,0,6.75,12,0,0,2
Online University,3.68,China,Unknown,5,Data Science Intern,8,9,5,30,Automated Script,Direct,True,6,1,0.7,1,0.5555555555555556,0,1,5,6
Fake University,2.85,Australia,UTC,9,Marketing Intern,5,9,7,66,Windows Chrome,Direct,True,10,0,0.55,0,1.0,17,0,0,3
Online University,3.81,Brazil,,8,Marketing Intern,6,8,7,21,Automated Script,,True,16,0,0.8,1,1.0,22,0,2,6
International University,3.21,India,CET,84,Software Developer Intern,0,2,4,183,Windows Chrome,Job Portal,False,13,0,0.45,0,42.0,9,0,5,1
Liberal Arts College,2.94,USA,GMT,104,Marketing Intern,2,4,2,215,Mac Safari,Job Portal,False,16,0,0.6,0,26.0,15,0,5,6
Community College,3.0,Canada,CST,69,Data Science Intern,3,5,2,262,Mobile iOS,LinkedIn,False,16,0,0.6,0,13.8,10,0,3,1
Tech Institute,3.42,USA,CET,27,Software Developer Intern,0,5,2,266,Mobile iOS,Company Website,False,14,0,0.5,0,5.4,10,0,6,6
Tech Institute,3.74,Germany,IST,72,Business Analyst Intern,1,2,2,301,Windows Firefox,LinkedIn,False,16,0,0.6,0,36.0,13,0,1,6
Online University,4.02,UK,CST,120,Software Developer Intern,0,3,3,450,Windows Firefox,LinkedIn,False,16,0,0.6,0,40.0,16,0,1,6
Community College,3.41,Germany,PST,92,Data Science Intern,0,5,4,285,Windows Firefox,University,False,15,0,0.55,0,18.4,17,0,4,6
Liberal Arts College,3.59,UK,GMT,61,Software Developer Intern,0,4,3,363,Windows Firefox,Company Website,False,13,0,0.55,0,15.25,10,0,1,5
Community College,3.26,Brazil,IST,82,Marketing Intern,1,5,4,134,Mac Safari,Job Portal,False,17,0,0.65,0,16.4,12,0,6,5
Online Degree Mill,2.37,Canada,,4,Marketing Intern,10,6,6,37,Windows Chrome,Unknown,True,8,0,0.45,0,0.6666666666666666,15,0,3,3
State University,3.88,Canada,GMT,63,Research Assistant,2,4,4,203,Mobile iOS,University,False,16,0,0.6,0,15.75,13,0,4,2
Tech Institute,3.5,India,PST,22,Business Analyst Intern,0,5,2,66,Mac Safari,Job Portal,False,14,0,0.5,0,4.4,10,0,6,3
Liberal Arts College,4.19,China,PST,25,Data Science Intern,0,2,4,423,Mac Safari,Company Website,False,16,0,0.6,0,12.5,10,0,0,4
State University,3.46,Australia,GMT,25,Software Developer Intern,1,2,4,455,Windows Chrome,LinkedIn,False,15,0,0.55,0,12.5,10,0,0,1
No University,2.68,China,Unknown,4,Business Analyst Intern,4,8,7,13,Windows Chrome,Direct,True,11,0,0.75,0,0.5,15,0,1,4
Online University,3.23,USA,CST,86,Data Science Intern,0,3,3,488,Mobile iOS,LinkedIn,False,16,0,0.6,0,28.666666666666668,14,0,0,3
State University,3.51,Canada,CST,56,Data Science Intern,0,3,2,128,Mobile iOS,Job Portal,False,13,0,0.45,0,18.666666666666668,14,0,6,6
Liberal Arts College,3.07,Brazil,IST,30,Research Assistant,0,4,2,282,Mobile iOS,Company Website,False,13,0,0.45,0,7.5,9,0,4,5
Liberal Arts College,3.39,India,PST,77,Software Developer Intern,0,5,3,287,Mobile iOS,University,False,16,0,0.6,0,15.4,11,0,6,1
International University,3.84,Brazil,,5,Business Analyst Intern,6,7,7,49,Automated Script,,True,6,1,0.7,1,0.7142857142857143,0,1,6,2
State University,3.6,UK,CST,89,Business Analyst Intern,1,3,2,164,Windows Firefox,Job Portal,False,14,0,0.5,0,29.666666666666668,13,0,2,2
Online University,3.95,Brazil,UTC,8,Marketing Intern,8,8,8,93,Automated Script,,True,14,0,0.6,1,1.0,15,0,3,2
Online University,2.75,USA,GMT,61,Marketing Intern,2,3,3,324,Windows Firefox,Job Portal,False,14,0,0.5,0,20.33333333333333,14,0,4,1
Tech Institute,3.01,Australia,PST,79,Data Science Intern,2,2,2,231,Windows Firefox,University,False,14,0,0.5,0,39.5,9,0,6,4
Tech Institute,3.62,Brazil,CET,40,Research Assistant,1,4,3,470,Windows Chrome,LinkedIn,False,14,0,0.5,0,10.0,13,0,0,3
State University,3.4,China,CET,62,Research Assistant,2,2,4,129,Windows Chrome,Company Website,False,13,0,0.45,0,31.0,10,0,4,5
State University,3.66,Brazil,CST,74,Data Science Intern,2,4,3,283,Mobile iOS,University,False,15,0,0.55,0,18.5,17,0,3,5
Online University,3.49,Germany,EST,119,Marketing Intern,0,2,2,348,Windows Chrome,Job Portal,False,14,0,0.55,0,59.5,12,0,4,2
Community College,3.58,Brazil,CET,97,Data Science Intern,2,5,3,489,Windows Firefox,University,False,13,0,0.45,0,19.4,13,0,4,2
State University,2.93,China,GMT,49,Marketing Intern,0,5,4,405,Windows Firefox,University,False,17,0,0.65,0,9.8,12,0,4,1
State University,3.43,Brazil,GMT,30,Marketing Intern,2,3,3,414,Windows Firefox,LinkedIn,False,13,0,0.45,0,10.0,15,0,5,2
Tech Institute,3.47,India,PST,35,Software Developer Intern,0,3,2,446,Windows Chrome,Job Portal,False,14,0,0.5,0,11.666666666666666,12,0,1,5
Community College,3.39,Brazil,PST,48,Business Analyst Intern,0,4,4,433,Windows Firefox,LinkedIn,False,15,0,0.55,0,12.0,17,0,6,6
Liberal Arts College,3.29,China,GMT,72,Business Analyst Intern,1,5,4,486,Windows Chrome,LinkedIn,False,16,0,0.6,0,14.4,16,0,1,6
Tech Institute,3.56,UK,IST,63,Business Analyst Intern,2,4,4,297,Mobile iOS,Company Website,False,15,0,0.55,0,15.75,10,0,6,5
Community College,3.69,USA,EST,96,Software Developer Intern,2,4,4,237,Mobile iOS,Job Portal,False,16,0,0.6,0,24.0,16,0,2,3
Community College,3.59,India,CST,70,Software Developer Intern,1,3,2,227,Mobile iOS,Company Website,False,15,0,0.6,0,23.33333333333333,15,0,1,2
Community College,3.55,Australia,,7,Software Developer Intern,8,8,8,41,Windows Chrome,Direct,True,10,1,0.45,0,0.875,15,0,2,6
State University,3.44,China,EST,98,Software Developer Intern,1,3,2,351,Windows Firefox,LinkedIn,False,15,0,0.55,0,32.666666666666664,10,0,0,4
State University,2.73,Brazil,GMT,91,Software Developer Intern,0,2,3,253,Mac Safari,LinkedIn,False,16,0,0.6,0,45.5,9,0,1,5
Online University,3.8,India,Unknown,8,Data Science Intern,7,8,8,62,Unknown Browser,Unknown,True,10,1,0.45,0,1.0,9,0,2,2
Online University,3.36,Australia,EST,116,Business Analyst Intern,1,5,2,449,Mobile iOS,University,False,13,0,0.45,0,23.2,10,0,5,3
Online University,3.34,India,IST,75,Software Developer Intern,2,2,3,402,Windows Chrome,Job Portal,False,16,0,0.6,0,37.5,9,0,5,2
International University,4.12,USA,IST,106,Data Science Intern,2,4,2,240,Mobile iOS,University,False,14,0,0.5,0,26.5,17,0,0,6
Liberal Arts College,3.24,UK,EST,21,Research Assistant,2,3,2,162,Windows Chrome,Company Website,False,13,0,0.5,0,7.0,9,0,1,6
Liberal Arts College,3.5,Germany,PST,38,Data Science Intern,1,4,3,463,Windows Chrome,Company Website,False,15,0,0.6,0,9.5,10,0,3,2
Liberal Arts College,3.21,Brazil,PST,25,Data Science Intern,0,4,3,149,Mac Safari,University,False,13,0,0.45,0,6.25,16,0,2,6
State University,3.46,Australia,EST,39,Marketing Intern,1,4,3,91,Windows Chrome,Company Website,False,14,0,0.5,0,9.75,11,0,3,1
Online University,3.1,USA,PST,99,Marketing Intern,1,2,2,487,Mac Safari,Company Website,False,13,0,0.45,0,49.5,13,0,0,5
Tech Institute,3.55,India,CET,99,Marketing Intern,0,5,3,222,Mobile iOS,Job Portal,False,15,0,0.55,0,19.8,14,0,5,4
Online University,4.13,Australia,CET,51,Marketing Intern,1,5,4,430,Mobile iOS,University,False,14,0,0.5,0,10.2,16,0,6,3
International University,3.05,China,EST,61,Research Assistant,1,3,3,464,Mac Safari,Company Website,False,14,0,0.5,0,20.33333333333333,11,0,4,3
Liberal Arts College,3.55,Australia,EST,29,Data Science Intern,3,5,3,326,Mac Safari,LinkedIn,False,14,0,0.5,0,5.8,13,0,6,5
Community College,3.51,China,EST,51,Marketing Intern,1,4,3,131,Mobile iOS,University,False,15,0,0.55,0,12.75,11,0,2,1
Liberal Arts College,3.23,Australia,GMT,117,Research Assistant,1,5,3,52,Windows Chrome,LinkedIn,False,14,0,0.5,0,23.4,17,0,1,4
Liberal Arts College,3.82,Unknown,,5,Business Analyst Intern,5,6,6,37,Automated Script,,True,6,1,0.7,1,0.8333333333333334,0,1,0,6
Online University,3.26,Brazil,PST,90,Marketing Intern,1,4,2,342,Mobile iOS,University,False,14,0,0.5,0,22.5,9,0,3,2
Liberal Arts College,3.5,USA,CET,57,Marketing Intern,1,4,3,177,Mobile iOS,Job Portal,False,15,0,0.55,0,14.25,10,0,0,3
Online University,3.59,India,EST,95,Data Science Intern,2,3,3,119,Windows Chrome,Company Website,False,13,0,0.45,0,31.666666666666668,9,0,6,2
Community College,3.96,USA,PST,40,Marketing Intern,2,4,4,443,Mac Safari,Job Portal,False,13,0,0.45,0,10.0,11,0,1,3
Community College,3.07,Brazil,PST,74,Software Developer Intern,0,4,3,407,Windows Chrome,Job Portal,False,16,0,0.6,0,18.5,14,0,0,4
Tech Institute,4.02,UK,EST,100,Data Science Intern,3,5,4,351,Mac Safari,LinkedIn,False,14,0,0.5,0,20.0,9,0,5,6
Liberal Arts College,2.84,Germany,CST,96,Marketing Intern,1,4,3,50,Mac Safari,Job Portal,False,14,0,0.5,0,24.0,13,0,0,4
State University,3.42,UK,CET,102,Software Developer Intern,0,5,4,354,Windows Chrome,University,False,14,0,0.5,0,20.4,13,0,2,4
Tech Institute,3.49,UK,EST,48,Business Analyst Intern,0,2,2,245,Windows Firefox,University,False,15,0,0.55,0,24.0,11,0,5,4
State University,3.61,USA,EST,29,Marketing Intern,2,4,4,385,Windows Chrome,LinkedIn,False,15,0,0.55,0,7.25,9,0,0,3
International University,2.85,Australia,CST,60,Research Assistant,1,4,4,268,Mobile iOS,LinkedIn,False,15,0,0.55,0,15.0,15,0,4,6
International University,3.47,Canada,IST,73,Business Analyst Intern,2,5,3,91,Windows Chrome,University,False,13,0,0.45,0,14.6,14,0,2,6
Tech Institute,2.97,Germany,IST,118,Software Developer Intern,0,3,3,142,Windows Firefox,University,False,16,0,0.6,0,39.333333333333336,12,0,5,4
Online University,3.82,USA,Unknown,8,Software Developer Intern,7,8,6,81,Unknown Browser,,True,12,1,0.55,0,1.0,22,0,5,1
Tech Institute,3.13,Brazil,CET,93,Software Developer Intern,1,3,2,71,Mac Safari,University,False,14,0,0.5,0,31.0,17,0,1,1
Online University,3.52,Canada,PST,70,Business Analyst Intern,3,3,3,173,Mac Safari,LinkedIn,False,14,0,0.5,0,23.33333333333333,14,0,3,2
State University,3.48,Canada,GMT,75,Research Assistant,2,2,3,307,Windows Chrome,LinkedIn,False,15,0,0.6,0,37.5,11,0,5,5
Tech Institute,3.21,India,CST,86,Research Assistant,2,3,3,279,Mobile iOS,Job Portal,False,14,0,0.5,0,28.666666666666668,13,0,0,3
Community College,3.03,India,CST,87,Software Developer Intern,1,2,2,210,Windows Firefox,LinkedIn,False,14,0,0.5,0,43.5,15,0,5,1
Fake University,1.72,Australia,,4,Research Assistant,0,6,8,91,Unknown Browser,,True,10,0,0.55,0,0.6666666666666666,4,1,1,1
State University,3.72,USA,CET,68,Data Science Intern,1,3,3,327,Windows Firefox,Company Website,False,14,0,0.5,0,22.666666666666668,15,0,1,4
Tech Institute,3.82,Australia,CET,52,Research Assistant,2,2,3,387,Mobile iOS,University,False,15,0,0.55,0,26.0,15,0,5,3
Online University,3.57,Australia,IST,112,Business Analyst Intern,0,5,3,430,Mobile iOS,Company Website,False,16,0,0.6,0,22.4,14,0,6,1
International University,3.6,UK,PST,81,Business Analyst Intern,3,2,2,391,Mobile iOS,LinkedIn,False,16,0,0.6,0,40.5,16,0,1,6
Online University,3.07,Brazil,PST,55,Software Developer Intern,2,4,3,317,Windows Firefox,Job Portal,False,14,0,0.5,0,13.75,13,0,4,6
Community College,3.25,USA,CET,111,Marketing Intern,2,3,4,436,Windows Firefox,Company Website,False,15,0,0.6,0,37.0,17,0,4,3
Liberal Arts College,3.65,Brazil,CET,29,Marketing Intern,0,4,4,380,Windows Chrome,Company Website,False,14,0,0.5,0,7.25,15,0,2,6
State University,3.57,China,GMT,108,Software Developer Intern,1,2,4,413,Mac Safari,Company Website,False,16,0,0.6,0,54.0,12,0,3,5
Liberal Arts College,4.1,USA,CST,96,Data Science Intern,1,2,2,304,Windows Chrome,LinkedIn,False,15,0,0.55,0,48.0,15,0,4,1
Tech Institute,3.88,Canada,PST,20,Data Science Intern,1,4,3,95,Windows Chrome,Company Website,False,15,0,0.55,0,5.0,16,0,4,3
Tech Institute,3.46,China,GMT,37,Data Science Intern,1,5,2,53,Windows Chrome,LinkedIn,False,16,0,0.6,0,7.4,9,0,6,3
Online University,3.04,Canada,CST,26,Data Science Intern,2,5,3,498,Windows Chrome,LinkedIn,False,14,0,0.5,0,5.2,16,0,6,6
State University,3.89,Canada,CST,83,Software Developer Intern,0,3,3,125,Windows Firefox,Job Portal,False,14,0,0.5,0,27.666666666666668,13,0,5,1
Liberal Arts College,3.84,China,UTC,3,Business Analyst Intern,6,9,7,32,Automated Script,Direct,True,6,1,0.7,1,0.3333333333333333,0,1,4,6
State University,3.2,China,CET,94,Marketing Intern,2,4,2,397,Windows Firefox,Company Website,False,15,0,0.55,0,23.5,16,0,3,5
International University,3.63,Canada,CET,39,Data Science Intern,1,2,4,358,Mobile iOS,LinkedIn,False,13,0,0.5,0,19.5,9,0,6,2
State University,3.09,USA,EST,105,Research Assistant,3,3,2,296,Windows Firefox,LinkedIn,False,16,0,0.6,0,35.0,17,0,1,3
Online University,3.21,UK,CST,99,Software Developer Intern,0,4,3,101,Windows Firefox,LinkedIn,False,16,0,0.6,0,24.75,14,0,2,1
International University,2.95,USA,GMT,31,Software Developer Intern,2,4,3,248,Windows Chrome,Job Portal,False,14,0,0.5,0,7.75,9,0,0,3
Tech Institute,3.62,Australia,CST,95,Marketing Intern,1,3,3,239,Windows Firefox,Job Portal,False,15,0,0.55,0,31.666666666666668,15,0,4,4
International University,3.37,India,PST,72,Software Developer Intern,2,2,3,413,Mobile iOS,Job Portal,False,17,0,0.65,0,36.0,12,0,1,4
Liberal Arts College,3.21,UK,IST,36,Data Science Intern,1,4,3,299,Mac Safari,Company Website,False,13,0,0.45,0,9.0,17,0,5,3
Tech Institute,2.93,USA,CST,89,Data Science Intern,1,4,2,351,Windows Firefox,University,False,15,0,0.55,0,22.25,11,0,2,2
Online University,3.72,China,PST,64,Business Analyst Intern,2,4,2,370,Windows Firefox,University,False,13,0,0.45,0,16.0,12,0,5,3
Liberal Arts College,3.5,UK,EST,80,Software Developer Intern,1,4,3,123,Mac Safari,Job Portal,False,15,0,0.55,0,20.0,17,0,1,4
State University,3.28,Brazil,GMT,74,Research Assistant,1,3,2,109,Mobile iOS,Company Website,False,13,0,0.45,0,24.666666666666668,14,0,0,3
International University,3.24,Germany,CET,40,Business Analyst Intern,2,4,3,405,Windows Firefox,University,False,13,0,0.45,0,10.0,10,0,3,4
Tech Institute,3.65,USA,EST,83,Marketing Intern,1,2,2,388,Windows Chrome,Job Portal,False,15,0,0.55,0,41.5,10,0,6,1
Online University,3.43,India,PST,83,Marketing Intern,1,4,2,272,Mac Safari,Company Website,False,16,0,0.65,0,20.75,16,0,0,6
State University,3.72,Australia,Unknown,7,Software Developer Intern,6,8,7,53,Unknown Browser,Unknown,True,12,1,0.55,0,0.875,3,1,1,4
Tech Institute,3.84,China,EST,103,Data Science Intern,2,2,2,253,Windows Firefox,Company Website,False,13,0,0.45,0,51.5,17,0,2,1
Liberal Arts College,2.9,Australia,IST,27,Data Science Intern,0,2,3,137,Windows Firefox,Job Portal,False,13,0,0.45,0,13.5,10,0,0,2
Community College,3.43,China,IST,88,Data Science Intern,0,2,2,345,Windows Firefox,LinkedIn,False,15,0,0.55,0,44.0,13,0,4,1
Community College,3.46,USA,CST,102,Data Science Intern,2,5,2,197,Windows Chrome,University,False,16,0,0.6,0,20.4,17,0,5,6
International University,3.47,China,CET,63,Marketing Intern,1,5,3,438,Windows Chrome,Company Website,False,14,0,0.5,0,12.6,11,0,1,4
Tech Institute,3.28,Germany,CST,54,Business Analyst Intern,1,4,4,189,Mac Safari,Job Portal,False,14,0,0.5,0,13.5,16,0,5,1
International University,3.72,India,CST,83,Software Developer Intern,0,4,4,259,Mac Safari,LinkedIn,False,13,0,0.45,0,20.75,10,0,1,1
Tech Institute,3.61,USA,CET,39,Data Science Intern,2,3,4,212,Windows Firefox,Job Portal,False,14,0,0.5,0,13.0,11,0,3,4
