task_id,intern_id,year,month,task_type,task_complexity,expected_hours,actual_hours,completion_status,quality_score,days_to_complete,department
INT_0003_M6_T01,INT_0003,2024,6,Research,3,10,8.7,Completed Early,10.0,2,Business Analytics
INT_0003_M6_T02,INT_0003,2024,6,Research,3,10,11.2,Completed On Time,8.7,2,Business Analytics
INT_0003_M6_T03,INT_0003,2024,6,Testing,2,4,4.6,Completed On Time,7.2,2,Business Analytics
INT_0003_M6_T04,INT_0003,2024,6,Data Analysis,3,8,11.8,Completed On Time,9.3,3,Business Analytics
INT_0003_M6_T05,INT_0003,2024,6,Report Writing,2,6,6.0,Completed Early,7.0,2,Business Analytics
INT_0003_M6_T06,INT_0003,2024,6,Code Development,4,12,13.3,Completed On Time,9.1,1,Business Analytics
INT_0004_M1_T01,INT_0004,2024,1,Presentation,2,5,3.0,Completed Early,6.5,1,Data Science
INT_0004_M1_T02,INT_0004,2024,1,Code Development,4,12,4.3,Completed Early,6.7,1,Data Science
INT_0004_M1_T03,INT_0004,2024,1,Testing,2,4,4.2,Completed On Time,8.6,2,Data Science
INT_0004_M1_T04,INT_0004,2024,1,Presentation,2,5,4.2,Completed On Time,5.6,4,Data Science
INT_0004_M1_T05,INT_0004,2024,1,Testing,2,4,3.6,Completed On Time,6.7,1,Data Science
INT_0004_M1_T06,INT_0004,2024,1,Testing,2,4,3.8,Completed On Time,6.6,1,Data Science
INT_0004_M1_T07,INT_0004,2024,1,Documentation,1,3,2.4,Completed Early,6.7,1,Data Science
INT_0004_M1_T08,INT_0004,2024,1,Report Writing,2,6,4.5,Completed Early,6.8,1,Data Science
INT_0004_M1_T09,INT_0004,2024,1,Testing,2,4,4.8,Completed Early,4.1,2,Data Science
INT_0004_M1_T10,INT_0004,2024,1,Testing,2,4,4.6,Completed On Time,4.6,1,Data Science
INT_0004_M1_T11,INT_0004,2024,1,Research,3,10,8.3,Completed On Time,5.3,1,Data Science
INT_0004_M2_T01,INT_0004,2024,2,Testing,2,4,4.2,Completed On Time,7.2,3,Data Science
INT_0004_M2_T02,INT_0004,2024,2,Report Writing,2,6,6.8,Completed Early,5.7,4,Data Science
INT_0004_M2_T03,INT_0004,2024,2,Data Analysis,3,8,8.1,Completed On Time,6.5,3,Data Science
INT_0004_M2_T04,INT_0004,2024,2,Report Writing,2,6,3.9,Completed Early,7.7,3,Data Science
INT_0004_M2_T05,INT_0004,2024,2,Presentation,2,5,4.0,Extended,7.8,2,Data Science
INT_0004_M2_T06,INT_0004,2024,2,Testing,2,4,2.5,Completed Early,5.2,4,Data Science
INT_0004_M2_T07,INT_0004,2024,2,Code Development,4,12,7.7,Completed On Time,8.5,1,Data Science
INT_0004_M3_T01,INT_0004,2024,3,Data Analysis,3,8,4.5,Completed Late,6.8,3,Data Science
INT_0004_M3_T02,INT_0004,2024,3,Report Writing,2,6,5.6,Completed Early,8.0,3,Data Science
INT_0004_M3_T03,INT_0004,2024,3,Code Development,4,12,11.6,Completed On Time,7.6,2,Data Science
INT_0004_M3_T04,INT_0004,2024,3,Testing,2,4,3.8,Completed On Time,7.2,3,Data Science
INT_0004_M3_T05,INT_0004,2024,3,Report Writing,2,6,3.4,Completed Early,9.2,3,Data Science
INT_0004_M3_T06,INT_0004,2024,3,Data Analysis,3,8,7.6,Completed On Time,9.1,4,Data Science
INT_0004_M3_T07,INT_0004,2024,3,Testing,2,4,4.4,Completed Late,6.3,1,Data Science
INT_0004_M3_T08,INT_0004,2024,3,Testing,2,4,3.1,Completed Late,8.2,3,Data Science
INT_0004_M3_T09,INT_0004,2024,3,Research,3,10,7.5,Completed Early,8.3,2,Data Science
INT_0004_M4_T01,INT_0004,2024,4,Report Writing,2,6,4.7,Completed Early,8.6,8,Data Science
INT_0004_M4_T02,INT_0004,2024,4,Data Analysis,3,8,7.0,Completed Early,9.6,4,Data Science
INT_0004_M4_T03,INT_0004,2024,4,Documentation,1,3,2.7,Completed On Time,10.0,5,Data Science
INT_0004_M4_T04,INT_0004,2024,4,Documentation,1,3,3.8,Completed Early,9.2,5,Data Science
INT_0004_M4_T05,INT_0004,2024,4,Research,3,10,10.3,Completed Early,9.5,6,Data Science
INT_0004_M4_T06,INT_0004,2024,4,Testing,2,4,2.3,Completed On Time,7.8,5,Data Science
INT_0004_M4_T07,INT_0004,2024,4,Code Development,4,12,10.6,Completed Early,9.1,5,Data Science
INT_0004_M4_T08,INT_0004,2024,4,Presentation,2,5,3.2,Completed Late,8.9,6,Data Science
INT_0004_M4_T09,INT_0004,2024,4,Data Analysis,3,8,8.1,Extended,9.6,6,Data Science
INT_0004_M4_T10,INT_0004,2024,4,Data Analysis,3,8,7.9,Completed On Time,8.4,3,Data Science
INT_0004_M4_T11,INT_0004,2024,4,Research,3,10,9.9,Completed On Time,8.7,5,Data Science
INT_0004_M4_T12,INT_0004,2024,4,Documentation,1,3,1.9,Completed On Time,7.4,6,Data Science
INT_0004_M5_T01,INT_0004,2024,5,Research,3,10,11.5,Completed On Time,6.7,2,Data Science
INT_0004_M5_T02,INT_0004,2024,5,Presentation,2,5,4.1,Completed Early,9.0,2,Data Science
INT_0004_M5_T03,INT_0004,2024,5,Testing,2,4,4.4,Completed Early,6.1,2,Data Science
INT_0004_M5_T04,INT_0004,2024,5,Documentation,1,3,3.2,Completed Early,7.6,3,Data Science
INT_0004_M5_T05,INT_0004,2024,5,Code Development,4,12,9.6,Completed Early,9.0,4,Data Science
INT_0004_M5_T06,INT_0004,2024,5,Data Analysis,3,8,6.6,Completed Early,7.1,3,Data Science
INT_0004_M5_T07,INT_0004,2024,5,Code Development,4,12,14.6,Completed On Time,7.0,2,Data Science
INT_0004_M5_T08,INT_0004,2024,5,Code Development,4,12,10.1,Completed Early,6.2,1,Data Science
INT_0004_M6_T01,INT_0004,2024,6,Code Development,4,12,11.2,Completed Early,8.4,3,Data Science
INT_0004_M6_T02,INT_0004,2024,6,Report Writing,2,6,8.3,Completed On Time,7.3,2,Data Science
INT_0004_M6_T03,INT_0004,2024,6,Research,3,10,7.8,Completed Early,7.4,2,Data Science
INT_0004_M6_T04,INT_0004,2024,6,Code Development,4,12,13.7,Completed Late,9.4,2,Data Science
INT_0004_M6_T05,INT_0004,2024,6,Documentation,1,3,2.2,Completed On Time,8.4,2,Data Science
INT_0004_M6_T06,INT_0004,2024,6,Presentation,2,5,5.1,Completed On Time,8.2,1,Data Science
INT_0004_M6_T07,INT_0004,2024,6,Code Development,4,12,14.5,Completed On Time,9.7,2,Data Science
INT_0004_M6_T08,INT_0004,2024,6,Presentation,2,5,4.1,Completed Early,8.2,3,Data Science
INT_0005_M1_T01,INT_0005,2024,1,Documentation,1,3,4.8,Completed On Time,5.5,7,Business Analytics
INT_0005_M1_T02,INT_0005,2024,1,Testing,2,4,5.2,Completed Late,6.7,9,Business Analytics
INT_0005_M1_T03,INT_0005,2024,1,Report Writing,2,6,7.3,Completed On Time,5.6,8,Business Analytics
INT_0005_M1_T04,INT_0005,2024,1,Research,3,10,13.2,Completed On Time,6.8,8,Business Analytics
INT_0005_M1_T05,INT_0005,2024,1,Testing,2,4,5.3,Completed On Time,7.2,9,Business Analytics
INT_0005_M1_T06,INT_0005,2024,1,Report Writing,2,6,7.4,Completed On Time,5.8,7,Business Analytics
INT_0005_M2_T01,INT_0005,2024,2,Testing,2,4,4.2,Completed On Time,5.4,5,Business Analytics
INT_0005_M2_T02,INT_0005,2024,2,Report Writing,2,6,8.5,Completed Early,5.0,5,Business Analytics
INT_0005_M2_T03,INT_0005,2024,2,Code Development,4,12,14.7,Extended,5.3,4,Business Analytics
INT_0005_M2_T04,INT_0005,2024,2,Documentation,1,3,3.4,Completed Late,6.2,4,Business Analytics
INT_0005_M2_T05,INT_0005,2024,2,Presentation,2,5,5.6,Extended,4.4,6,Business Analytics
INT_0005_M2_T06,INT_0005,2024,2,Documentation,1,3,2.4,Completed On Time,4.6,5,Business Analytics
INT_0005_M2_T07,INT_0005,2024,2,Report Writing,2,6,8.5,Completed On Time,5.1,4,Business Analytics
INT_0005_M2_T08,INT_0005,2024,2,Documentation,1,3,4.4,Completed On Time,3.7,2,Business Analytics
INT_0005_M2_T09,INT_0005,2024,2,Research,3,10,11.9,Completed On Time,4.6,4,Business Analytics
INT_0005_M2_T10,INT_0005,2024,2,Research,3,10,12.4,Completed Late,5.4,4,Business Analytics
INT_0005_M3_T01,INT_0005,2024,3,Research,3,10,8.5,Completed On Time,7.9,3,Business Analytics
INT_0005_M3_T02,INT_0005,2024,3,Report Writing,2,6,7.9,Completed On Time,6.8,4,Business Analytics
INT_0005_M3_T03,INT_0005,2024,3,Data Analysis,3,8,9.7,Completed Late,6.9,4,Business Analytics
INT_0005_M3_T04,INT_0005,2024,3,Report Writing,2,6,8.2,Completed On Time,6.7,4,Business Analytics
INT_0005_M3_T05,INT_0005,2024,3,Research,3,10,10.8,Completed Early,7.9,3,Business Analytics
INT_0005_M4_T01,INT_0005,2024,4,Report Writing,2,6,7.5,Completed On Time,5.4,4,Business Analytics
INT_0005_M4_T02,INT_0005,2024,4,Documentation,1,3,2.7,Completed On Time,4.6,4,Business Analytics
INT_0005_M4_T03,INT_0005,2024,4,Presentation,2,5,4.3,Completed Late,6.1,5,Business Analytics
INT_0005_M4_T04,INT_0005,2024,4,Data Analysis,3,8,8.4,Completed On Time,4.6,4,Business Analytics
INT_0005_M4_T05,INT_0005,2024,4,Presentation,2,5,3.5,Completed On Time,4.4,3,Business Analytics
INT_0005_M4_T06,INT_0005,2024,4,Data Analysis,3,8,7.2,Completed Early,4.3,6,Business Analytics
INT_0005_M4_T07,INT_0005,2024,4,Report Writing,2,6,7.4,Completed On Time,4.0,4,Business Analytics
INT_0005_M4_T08,INT_0005,2024,4,Research,3,10,13.8,Completed On Time,5.5,4,Business Analytics
INT_0005_M4_T09,INT_0005,2024,4,Documentation,1,3,2.9,Completed Early,5.3,4,Business Analytics
INT_0005_M5_T01,INT_0005,2024,5,Research,3,10,10.4,Completed Early,8.7,4,Business Analytics
INT_0005_M5_T02,INT_0005,2024,5,Testing,2,4,3.9,Completed On Time,8.2,6,Business Analytics
INT_0005_M5_T03,INT_0005,2024,5,Code Development,4,12,17.3,Completed On Time,8.7,4,Business Analytics
INT_0005_M5_T04,INT_0005,2024,5,Report Writing,2,6,6.7,Completed On Time,8.8,2,Business Analytics
INT_0005_M5_T05,INT_0005,2024,5,Presentation,2,5,5.2,Completed On Time,6.6,4,Business Analytics
INT_0005_M5_T06,INT_0005,2024,5,Code Development,4,12,14.8,Extended,7.8,5,Business Analytics
INT_0005_M5_T07,INT_0005,2024,5,Data Analysis,3,8,6.8,Completed On Time,6.8,4,Business Analytics
INT_0005_M5_T08,INT_0005,2024,5,Data Analysis,3,8,10.5,Completed On Time,9.9,3,Business Analytics
INT_0005_M6_T01,INT_0005,2024,6,Report Writing,2,6,5.9,Completed On Time,5.2,7,Business Analytics
INT_0005_M6_T02,INT_0005,2024,6,Research,3,10,13.3,Extended,6.4,6,Business Analytics
INT_0005_M6_T03,INT_0005,2024,6,Code Development,4,12,15.1,Completed On Time,3.0,8,Business Analytics
INT_0005_M6_T04,INT_0005,2024,6,Code Development,4,12,9.0,Completed On Time,5.5,5,Business Analytics
INT_0006_M1_T01,INT_0006,2024,1,Documentation,1,3,3.6,Completed On Time,9.8,1,Business Analytics
INT_0006_M1_T02,INT_0006,2024,1,Research,3,10,8.3,Completed On Time,8.7,3,Business Analytics
INT_0006_M1_T03,INT_0006,2024,1,Documentation,1,3,2.9,Completed On Time,9.4,2,Business Analytics
INT_0006_M1_T04,INT_0006,2024,1,Documentation,1,3,2.8,Completed Early,8.7,1,Business Analytics
INT_0006_M1_T05,INT_0006,2024,1,Testing,2,4,3.5,Completed Early,9.0,2,Business Analytics
INT_0006_M1_T06,INT_0006,2024,1,Presentation,2,5,4.6,Completed On Time,9.7,1,Business Analytics
INT_0006_M1_T07,INT_0006,2024,1,Testing,2,4,3.7,Completed On Time,7.0,2,Business Analytics
INT_0006_M1_T08,INT_0006,2024,1,Code Development,4,12,11.6,Completed On Time,10.0,1,Business Analytics
INT_0006_M1_T09,INT_0006,2024,1,Research,3,10,13.2,Completed On Time,8.9,2,Business Analytics
INT_0006_M1_T10,INT_0006,2024,1,Presentation,2,5,3.5,Completed On Time,9.6,1,Business Analytics
INT_0006_M2_T01,INT_0006,2024,2,Presentation,2,5,5.6,Completed On Time,10.0,4,Business Analytics
INT_0006_M2_T02,INT_0006,2024,2,Documentation,1,3,2.0,Completed On Time,10.0,2,Business Analytics
INT_0006_M2_T03,INT_0006,2024,2,Data Analysis,3,8,7.7,Completed On Time,9.2,3,Business Analytics
INT_0006_M2_T04,INT_0006,2024,2,Research,3,10,9.7,Completed On Time,10.0,3,Business Analytics
INT_0006_M2_T05,INT_0006,2024,2,Documentation,1,3,3.7,Completed On Time,10.0,3,Business Analytics
INT_0006_M2_T06,INT_0006,2024,2,Testing,2,4,4.4,Completed On Time,10.0,2,Business Analytics
INT_0006_M2_T07,INT_0006,2024,2,Testing,2,4,4.1,Extended,10.0,3,Business Analytics
